time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13
0	292.050435	0	-121.149707	186.100672	1719.14886	2635.73601	-169.567029	3266.71847	94805.2979	-131.91511	-43.3650745	-145.534375	-139.355949	-71.9637695	-129.525621	-573.307348
2	296.294333	0	-165.735783	3428.44918	13179271.1	2482883.31	-149.287055	-204.935783	41108.2996	-133.675667	-55.3523226	-82.4679	-145.301929	357.482612	1256516.88	18913.2722
4	297.466525	0	-85.7964283	66952.484	1436551.86	1122085.57	-69.9599346	12739.9302	2542.22036	95.8705609	37.2302502	-71.6559245	-27.8090546	699.958424	1233.90508	-617.526409
6	298.435471	0	-88.3317175	25975.2354	639451211.0	1933272050.0	-134.424833	64090.1052	12687.4229	-90.9818325	-11.8823303	-126.215063	256.608423	7.05286344	2655.62048	-546.675552
8	296.816719	0	-117.611983	88013.0498	52195.5573	560849813.0	1956.77016	233288.616	946484795.0	152.900137	-86.2519825	432.364368	147.482962	501.198175	252775.942	-378.377817
10	305.779643	0	-94.4812751	2347.80163	2847.8468	5342563260.0	-158.979201	21958.9965	124460.33	35.3196023	-42.662801	-74.4763811	-110.856555	-74.8719115	3117.49316	-612.816872
12	304.855882	0	-89.0086552	54961.8932	9675.3325	121994.063	-86.39534	1272.79247	1684291.78	-99.7883384	-12.0184779	-104.760685	-66.2465617	-75.4402409	1356.17037	-509.821447
14	300.866066	0	-134.805537	4897967.33	18885541.0	269291.873	442.133772	11124331400.0	207384.459	28503.7795	19467.1447	1938.50128	385.825373	-162.065538	1305685140.0	-256.129738
16	295.281354	0	-110.332403	7177.45341	2888.68241	43150126.8	-145.181503	9101.38454	6855.0592	837.672755	-23.4616831	-133.542658	-130.485363	-137.584862	920.091346	-589.066976
18	302.394732	0	-104.579582	13641.998	3434.94645	7647.12324	379.230648	1583.02871	55266344.6	-58.8901816	-51.0838697	-142.477902	-135.344945	-66.9055163	3907.20558	-611.560331
20	295.627297	0	-180.426416	9740805.18	898977524.0	19563294.6	-196.259102	29304622.2	141668.766	-26.7812017	40.3172159	-161.232008	-141.21535	-207.686416	15360.038	-542.647152
22	295.629183	0	-122.877974	19804.3437	5173963.58	333287000.0	-102.729504	37943.4356	8855.14363	953.84182	266.942052	3.990071	305.761632	163.494442	-229.667975	-525.885174
24	294.438319	0	-98.7428694	1725.38972	5320.96184	99659509.5	682.49681	215046.217	120742.954	162.971281	12.8220677	-116.783252	430.430583	-126.002073	710180.559	-490.935672
26	298.182584	0	-117.418747	3301862320.0	2374590140000.0	8365968.96	74741.5788	5509814.21	33683106.5	41766.9355	-86.0587469	3161.78144	2183.87562	5361.74262	20687897.7	2733.88144
28	296.285362	0	-147.400938	8855.30105	402.882754	51002.9727	-170.838537	-186.600939	20000.7486	42.3342309	-44.1981976	-140.589808	-78.0567228	-119.690865	-186.273963	-610.29843
30	299.408981	0	-139.400166	734209.676	5791100.1	242239847.0	10697.6003	119768287.0	111035791000.0	4481.21804	-108.040166	8.59315068	101.618105	1950.54241	3854.00784	64.1570588
32	298.648145	0	-147.773541	3190562.23	9787.59518	44821.194	2870.07586	261736.117	3694.63044	2239.42877	-4.05118999	131.140149	-114.275822	1608.44636	1017.50399	-679.503521
34	299.323248	0	-112.330706	478468.42	107632.98	241586.343	114.703335	2969.24429	2878.87711	233.659795	-80.9707056	35.0116574	92.7864003	1143.75016	6628470.84	-319.385463
36	298.792918	0	-140.829125	4860729.33	60594092.4	300514.414	-148.2209	16166.0229	6236497.39	-52.251581	-80.09635	-178.804943	-164.268213	-112.179883	44859815.8	-626.709008
38	300.927864	0	-131.810073	197.411761	913.459	1475.89664	-117.690563	-27.6017996	1336.22052	-10.8796115	-0.714138062	-83.9443709	-112.710151	-80.6067626	-238.600074	-608.386266
40	294.709049	0	-148.714198	2097.20439	12230.7841	31213.2453	-154.211272	73903.3072	230535469.0	1729.77879	-11.5084489	-101.064317	-121.566163	833.551101	38.4369025	-680.444179
42	301.664611	0	-154.902647	352310.186	170565669.0	36281.6477	-154.12975	490860.109	32317.4447	1179.96989	-10.1657743	-99.2521093	-144.269005	-182.162647	369111.854	-381.038653
44	297.058715	0	-113.58112	69456.0682	3170849.25	1078520.66	-0.0622206256	3410321.7	865094422.0	3011.81777	-82.221119	115.356573	-50.2069467	153.958783	783.896478	-548.429821
46	303.120586	0	-122.388477	542156111.0	129190626.0	271409.507	-161.943841	161657.018	12790.2192	5447.16009	-24.1227262	-144.962588	-161.663407	-63.1013425	14951.5887	716.427089
48	295.347262	0	-124.936732	1329.11585	26768.1275	575445.386	-185.391739	168662.366	33416866000.0	-135.179406	-53.9376638	-105.979732	-140.384755	-107.531707	294.458052	-586.252132
50	296.080597	0	-185.892622	-84.2046441	26200469.4	2474.00243	-180.577415	-225.092623	321952.165	-115.534141	-58.6138928	-148.176996	2527.48318	-137.767415	-219.540364	-632.112646
52	300.639495	0	-136.079255	1230.64712	16243.8036	30822.5378	-0.450655658	559.598443	2381.86908	-71.7663405	6.01194645	-124.911224	-94.487172	-89.1922474	-242.869256	-537.496634
54	298.803819	0	-77.2387866	31547.9431	59440.0645	270963.112	-85.2276762	5959347.33	1004705950.0	3081.10498	340.734668	27841.5296	-65.0085561	1392.49197	1858.35792	-608.968767
56	298.128919	0	-135.915244	1392.07245	-93.2084881	39729101.6	-144.38859	-175.115245	8340.07342	-86.4197711	-0.627887482	-121.877117	-96.5314716	-97.5888255	823.092196	-554.806797
