time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13
0	295.442642	0	-167.002938	89671.8072	25806.3273	24441.9622	29.1232669	2045.5542	217192.472	99.2818861	520.311065	1.99789336	11771.3001	115.270657	-211.772938	-211.058287
2	301.28822	0	-169.208433	41.1914806	-115.036099	1047.86027	-126.997445	-49.5350589	1772.04089	20.2552488	47.8634311	-86.867889	-99.6639627	-92.3321756	-213.978426	-594.587116
4	295.827797	0	-150.77716	90076.8126	44830773.0	4172839080000000.0	-140.207154	916742.439	11445.9505	-64.9070922	12.437145	-44.9554457	-86.8557437	1.00784897	129421.09	3155.82205
6	296.781637	0	-216.5974	-216.5974	13281.7804	1371.84552	-92.4333119	-79.3735539	-17.9286689	-80.538735	-13.8264851	-144.51954	-129.074325	-137.998417	-72.9185691	-548.631747
8	294.794015	0	-216.894049	121032.857	58764.1341	25072494200.0	-77.2607145	27170.0226	2423462.16	1937.97505	-88.3940489	-19.9811845	-73.5181044	-59.6040653	7062325.63	-243.489099
10	296.66863	0	-156.89408	1132828500000000.0	320196662000.0	2913799.07	-127.888303	13359762.3	53208.3765	-103.952583	14.0556411	-96.6598564	-74.1618395	147.953436	16012.5377	442.61964
12	299.07727	0	-177.095358	251.083044	4951696.73	1303519.34	-120.773189	-184.185359	528.291884	-74.0827525	30.7610709	-95.6518298	-99.4532884	-129.522263	-169.986107	-433.629173
14	300.254297	0	-187.060143	26.5472331	179291.875	2174.97838	-131.264858	18758.8524	-197.840142	-43.5130606	34.8968961	-85.6434778	-105.929779	-154.936264	-173.142768	-603.681233
16	294.173949	0	-202.019312	507.462492	5680.70914	1372870.94	-141.016112	131622.413	-212.799312	-70.9703166	72.9669102	-125.290966	-126.141938	69264.2177	548.858095	-621.115051
18	295.762888	0	-220.566736	183.59049	314.903559	49263.6927	-169.46712	5511028.26	-231.346691	-140.468661	-1.50412853	-145.275656	-95.9143415	-205.94653	212.917341	-629.89891
20	300.33611	0	-207.215201	549.376093	1837.63116	23302.6388	-140.290641	23547.3906	39238.5646	-74.0975006	192.042721	576.702939	-181.1052	-100.720577	15262379.2	-91.5039592
22	300.0865	0	-213.858307	2550793.13	68553.037	17076877.4	-167.23723	268117.678	277394.43	-86.475573	-5.28836275	-154.78507	-168.159305	-236.587328	5021.37626	-637.114489
24	293.791905	0	-215.432276	498662.702	162567.78	13189.7627	-151.951651	4144977.47	-226.212275	1.40820032	19.8369898	-110.495039	-125.91812	-187.33492	3095.42164	-586.511278
26	296.836905	0	-234.672759	64465.5496	2681271.08	35330129.1	-224.102759	140788.3	921702.356	473.805321	-69.6101359	-159.095213	-148.374157	-102.110406	1665098120000.0	-601.972985
28	299.588143	0	-216.34857	22169.155	13303.0044	2766939920.0	3789.2867	27620.094	78629327.2	12786.4693	-87.8485701	102.01791	135.420672	1927.11753	11414474.4	523.068969
30	294.628211	0	-180.338299	269.531887	39097.2642	32899.8302	-115.733516	23317.3412	-191.118299	-85.033079	159.804352	-54.6641114	-87.7073166	-8.97938146	161.941579	1379.69696
32	300.764475	0	-213.126522	63229.9854	1784385370.0	33274.6424	-166.22874	100.09449	-223.906501	-130.432276	-12.092218	-146.836541	-130.157614	-200.701063	904.622564	-620.333773
34	295.262395	0	-200.0723	2340871.94	177378481000.0	116658807.0	-107.258848	23121.7778	634.757387	-147.119972	-24.44243	-154.084295	-138.486752	-201.994532	23790.82	-651.587345
36	297.937575	0	-206.400633	17.6438537	116681.416	654.160862	-128.090246	1813.78017	-217.180633	-62.3888559	43.7482803	-113.293729	-99.0324464	-151.412559	42.8324266	-604.657368
38	298.542532	0	-244.982724	3068.55717	233.929771	-255.872724	296.441491	-118.266617	-189.688258	-15.3798368	-29.6632405	-155.977026	-143.668402	-166.763543	-190.10724	-636.605889
40	298.518655	0	-215.623145	313084421.0	690610.716	534534069.0	-139.863474	170209.126	-226.403145	1675.7816	1.17068339	-104.169396	-107.886329	-162.371626	617884.883	-599.190185
42	294.934772	0	-148.149084	461.64805	4292.64896	13670442.9	-66.4843386	2438.37226	-158.929084	-40.8595935	79.6564389	-37.5497619	-55.7508317	255.892162	-127.292774	-545.174912
44	295.967086	0	-195.614299	279.549641	822.689373	-206.5043	-45.3767333	3314.91429	33517.2383	111.729782	23.8434597	5557.45269	-84.0289764	23317.8376	17259.7468	106462.616
46	300.189641	0	-165.488883	5364.07265	301.331396	962.480478	-107.342311	-172.578882	141658.969	-7.96143481	477.278434	-95.232611	-48.1372383	-144.699521	4009.17963	-572.399123
48	292.971399	0	-236.808629	163724.824	822.771625	59459.456	-188.952582	-243.898629	2427.3325	-69.1144937	-20.7703656	-158.960021	-132.065155	-204.83843	992.642652	-648.901736
50	300.149475	0	-212.797979	15.6963897	-197.997979	-33.3226702	-112.8661	1076.4942	72244.2027	-98.7641167	78.5188579	-121.084749	121.439107	17.4447059	798.529615	-316.665877
52	301.353609	0	-146.025822	405589.614	-131.225821	479.291375	-86.0510433	70.7941935	833469.133	-28.3865434	60.7989909	-76.2483036	-6.69061742	136.379704	261.925645	-497.964489
54	297.391102	0	-215.588434	-5.47162893	997.855326	-226.478435	25.3986021	148114.23	20070.2185	5998.25626	45.9266083	-65.7203801	-43.1465573	3187.51254	-5.44192326	-427.043516
56	295.963665	0	-206.833875	-206.833875	6521175.34	1041420.56	-157.179103	7320.46477	3065808.37	-77.3217754	50.4459327	-82.2087542	-48.9699983	4120.12648	19396812.2	-79.1731662
58	299.000317	0	-217.907277	228.619659	1548.76659	6400.78315	-187.655507	398396.8	4299.04145	-164.966104	-51.5127119	-162.754538	-151.240243	-193.875943	-117.135758	-648.442126
60	296.108091	0	-211.101248	613228.622	3236588090.0	1995628790.0	-184.226008	429.336507	47398887.1	-158.155248	-4.49637328	-151.897216	-167.876873	294.559925	586772.498	-640.49476
62	297.687898	0	-183.167649	4392.10392	144.370133	2049.59634	-119.771133	176.821639	32954.1466	-43.2130687	62.0988532	-111.832835	-121.473765	-157.899157	-227.937648	-583.026106
64	292.368306	0	-220.418937	94407.6842	435706.694	314211.087	-54.5434056	234794416.0	1344.4178	11.8638744	570.56616	-81.5898248	-144.191576	-120.792269	-265.188938	-623.4577
66	297.323806	0	-216.873776	11.4252698	89728.4841	-227.763777	-151.246148	-82.3815529	192.165704	-20.1360679	-4.74829787	-120.837389	-125.016051	-186.267656	-115.549352	-616.270218
68	296.328329	0	-198.340654	707710.5	705663.824	893598873.0	-187.768539	8509.41124	21074440.7	82.4768796	-38.1124665	-148.088796	-142.075934	-155.492637	727954.008	-614.047254
70	295.897181	0	-198.906937	22233216.4	24075.2574	-209.796938	-131.843055	35594.8557	2230.49657	-89.7907241	30.1558946	-105.813694	-99.6397485	256.028421	-143.002906	-453.675275
72	300.032875	0	-174.98278	-103.084892	-160.18278	62.0193285	-122.764853	1184848080000.0	7434.04764	-7.96815169	-2.27848578	-57.2048085	-51.3377682	-83.49135	-29.4541266	-478.812703
74	294.052243	0	-194.158394	2396357.74	3204468.52	169497286.0	44.8179547	3276675260.0	6365.89189	226.527344	-18.6038352	-161.447726	-147.60382	-112.647152	10763170.1	-643.850716
76	296.821654	0	-182.635428	215.068219	20379.6892	17176.8999	-97.8222358	13717.8693	584006366.0	3610.28823	114.725361	189.937696	1421.11138	70441.2603	1900.10715	-661.515433
78	299.31312	0	-210.368144	21105275.5	1761941.25	19820.3151	21766.9	185792167.0	335330.083	5634.63085	34640.9609	3039.00819	5480.1213	2146.26792	-255.138144	194.749203
80	300.591182	0	-181.986659	152671.958	165377.421	1339087.78	662.760598	45563.0321	7842.71869	348.938719	43.0633007	123.246182	58.8207938	1158.49314	5317.55208	-660.866664
82	299.331417	0	-227.249171	7175.24878	692933558000.0	6102837.49	546.57496	36183.4179	155426.599	891.316846	-34.7567844	-194.539169	-150.676431	-216.126654	2567039820.0	-374.15457
