time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13
0	299.793781	0	-47.3086001	32.5402234	-102.777992	57.2582073	-85.1659508	64983.7017	2381.46554	89.0100454	46.2152218	-65.3985874	-54.4006887	-19.1936794	-77.669823	-510.281934
2	302.361784	0	-6.23789601	73258887.1	520784.489	17617083.7	161.289145	225339.491	1290979.77	80.4813194	22.262104	227.159015	335.465974	1081.50232	953.856207	-458.394243
4	306.592927	0	27.1476208	6247.92543	65383.9149	1007361630.0	190.932631	1152810.67	54701.2378	16.8576395	136.008492	145.650317	13.45139	45.3726271	4950.05327	361.983756
6	297.753215	0	-79.7203937	189662.011	527272.865	943140.815	-67.8493625	3226122.36	19539617.7	-25.1684527	44.8816858	-81.6309981	-56.9099306	-115.480391	27742.8775	-531.912384
8	299.189581	0	-66.1787598	717.971403	753.019235	1819.33174	-91.4114507	408.01549	-137.46876	-4.34041341	65.9155826	-63.8085035	-59.7319844	-64.4419442	4386.03385	-243.75361
10	299.58677	0	-167.116816	769.933737	503586.378	792.895386	-136.148897	17.6446029	6084.49127	-9.06147614	16.1534841	-101.612358	-141.314652	12.9264405	-276.876819	-567.684979
12	298.523208	0	-49.0506983	1600772500.0	4617.27577	3871792520.0	-17.8244787	12504218.5	62051.6409	176.500836	58.8061828	85.7339521	522.368407	145.372267	-158.8107	-383.159582
14	296.196919	0	-25.9830394	666.456832	-21.9060915	219.686763	-38.4259039	-66.5230404	2970.1817	16.1558903	116.169838	9.62649842	-14.9673656	28.4904024	16068.6086	-478.687216
16	295.431092	0	-73.6624208	139775.299	7888.38122	8407462610.0	-100.275537	717.873397	-144.952068	-53.0146566	41.5832664	-70.2348422	-71.3518301	-87.3980489	30523.6826	-555.053329
18	300.972195	0	-61.9226222	282.651851	73280.7022	14136733.2	-79.2828166	1921.88865	-133.2126	-43.5013035	79.604595	-51.7399153	-62.589705	-43.2770486	908.074233	-537.478288
20	299.671627	0	-59.2747192	7128.43401	1449.43552	196987.313	-35.4764408	532.559099	3513.34968	41.1824068	87.8312272	-32.8023214	-24.9948793	-4.93086684	-169.034721	-536.339879
22	297.692443	0	-23.3184804	363.448852	43214.9451	114485.416	-43.6432442	259976956000000.0	142751.242	-33.537055	27.8283047	-53.4006434	-1.91139467	-14.7558109	32564.8473	-472.254866
24	300.955115	0	-40.287406	269.0144	62.498735	2449.08173	-16.6086533	-80.8274055	91868591300.0	-14.9170593	74.6840273	-19.2483037	26.7665972	-27.6243673	-34.2089495	-519.855832
26	292.300908	0	-119.115231	664.433186	627.288922	309.111524	-84.9058654	-159.655231	76.9462176	-57.2270376	3.55017411	-120.811507	-110.732499	-97.5929854	6105.56833	-587.781565
28	298.907329	0	-8.29628877	5696.89144	271.703052	7613.30169	31.1149594	-48.8362897	44130.8596	51.6690859	90.7898595	2.29018655	16.9299233	14.6898518	124.465458	-472.27745
30	297.94455	0	-111.021347	34633.7434	33.5494744	309428.191	-95.100924	479177.361	2807704.56	141.730656	25.2375278	-87.3545288	-71.6925113	-63.1063282	-220.781349	-588.450004
