time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5
0	297.240634	0	-193.048247	7.40820772	4151.26572	2572151.24	282072.372	-132.778247
2	302.374637	0	-245.052379	-194.695264	-247.242356	-186.605829	1181.9456	331.674871
4	304.757627	0	-277.302293	-212.365042	-279.491661	-227.112427	801.549674	9022527.48
6	295.323854	0	-245.210891	2799.03267	-247.400741	-191.456948	237.482416	6464.63781
8	295.765742	0	-240.778411	-240.778411	80.3422588	-150.555657	90876.1051	4132796090.0
10	300.654022	0	-253.190388	-253.190388	1608.28303	-163.834293	462062.825	2078934720.0
12	293.588509	0	-276.912409	-173.573998	-279.102289	-222.608123	-202.729622	248603470000.0
14	300.646165	0	-266.807117	-266.807117	1649.6631	17.9437747	758739.027	381735048.0
16	293.778306	0	-188.787328	-188.787181	78.6124966	-134.978062	1278.06992	7120.67746
18	297.446763	0	-252.59527	52.7885942	8599.74235	2224.70854	5391.43881	-192.325269
20	294.966745	0	-246.046079	-100.370389	4026.315	450291694.0	243.694939	-185.776079
22	299.36925	0	-254.611735	-155.808126	-136.32306	-143.822547	-101.758603	-194.341735
24	298.34702	0	-239.684668	117.319499	-241.860599	-197.175158	1642.8055	46479.9564
26	301.899695	0	-237.991005	-82.2241851	-128.60187	-208.301005	596021.857	56009555.3
28	302.501957	0	-264.906147	-39.405102	-267.095671	-214.011218	-72.9391494	3266.29907
30	298.091203	0	-291.568983	53.9334734	-182.153339	-121.517991	932.572821	-231.298983
32	295.447071	0	-231.623582	-167.408854	-190.321532	-163.98499	-211.883581	427.860548
34	299.897888	0	-259.712934	-259.712934	21.6859442	-165.333779	76187.0683	77650306.7
36	296.77967	0	-229.311314	-229.311314	54461.7148	17549.6173	5079819700.0	22186.6817
38	298.972394	0	-209.186873	-154.446704	-150.498497	-143.916732	-189.446872	475024514.0
40	302.887557	0	-215.57374	-163.076965	-103.396683	-110.771369	-119.896876	-155.30374
42	296.022038	0	-258.762067	-201.084158	193575341.0	1390110.11	35535194.4	-198.492067
44	296.060762	0	-275.883598	-103.242265	8691.5117	15150.3925	1777590.34	-215.613598
46	299.93718	0	-230.517535	-182.684449	-134.563146	-118.376383	1497919.9	-170.247534
48	296.056518	0	-196.851523	-15.645114	-132.624642	-102.61509	-28.783653	-136.581523
50	298.642575	0	-267.07547	-267.07547	3302.07369	2147.33868	509011.221	1877009290.0
52	291.647539	0	-200.577774	-132.918271	-84.8404711	19.5134205	37680.2416	-140.307773
54	299.630406	0	-230.323866	-160.949871	-201.432722	-165.682286	-210.583856	151034.057
56	295.141949	0	-230.310724	-230.310724	83.5186353	-155.376361	23827.7405	1438932.57
58	298.377669	0	-181.357897	-39.9517282	3316.07849	1909.55106	3426617.24	-121.087897
60	299.785704	0	-188.354772	-88.6763222	-190.539763	-143.291108	105.324576	300.273056
62	299.395715	0	-217.545569	-126.541559	41504.0149	28825.4231	9968411.92	-157.275568
64	299.080798	0	-309.99556	-274.647206	-260.118184	-178.15577	-290.255559	494.198894
66	298.019524	0	-192.052472	5.37753888	-134.997693	-162.362472	12122.7965	4203828850000.0
68	300.156295	0	-253.458276	-213.896547	-255.647209	-204.564696	232151.866	1412.67439
70	300.747732	0	-174.18595	-46.3491628	415.919042	-144.49595	364200.176	7600.39919
72	296.516745	0	-190.092121	-190.092121	2157.76008	-106.693677	36198.3902	72589977500.0
74	301.033336	0	-221.577233	-156.555586	54619.9164	193995.803	26183322.9	-161.307232
