time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5
0	298.093323	0	-160.361126	-160.361126	-118.253651	-78.9471992	1569271.76	1240.34271
2	292.894825	0	-176.33144	-99.4579906	-207.800756	-172.571635	1232.14168	18352.6594
4	302.665108	0	-145.846681	5345.88095	-177.316787	-141.896887	42.0688678	6545.80205
6	297.313686	0	-259.684761	873.217717	502535.287	1737807.5	134542.947	-155.774757
8	298.638113	0	-246.724061	-132.226352	-190.461639	-168.11089	641.915394	-142.814057
10	297.229967	0	-179.862248	-120.728272	-211.339211	-172.989246	530.088129	1978472.28
12	302.331868	0	-245.750107	20265.2444	3268208.52	43094.981	2672232.99	-141.840103
14	296.500316	0	-222.907698	1150.50988	-200.042654	-193.786536	-183.727697	4415235790000.0
16	299.126786	0	-157.461975	3900.28809	18204.9124	567.734074	525838.11	-53.5519712
18	292.712213	0	-173.729472	277.396864	-81.9103394	-71.2441173	1746.18225	-69.819468
20	300.777946	0	-237.109979	18146.5076	21059.8627	2142.64474	13265.4032	-133.199975
22	298.799902	0	-233.709551	95.113584	36117.6302	5786.05345	226036.212	-129.799548
24	291.306585	0	-270.123607	683.964186	240758.985	4215.04104	228933.877	-166.213603
26	296.222145	0	-271.043607	436.587017	526.827883	1495.47482	2713543.1	-167.133604
28	297.95971	0	-270.650793	1509.26358	71959.4445	83096.0582	460675.876	-166.740789
30	293.101124	0	-239.44556	279.184683	-153.286101	-130.362704	636.842554	-135.535557
32	297.151977	0	-210.430424	2043.03399	606311.376	29180.9162	142918.059	-106.52042
34	299.627583	0	-158.303829	27.247561	-189.781499	-150.774586	30711.8778	497712.284
36	303.81096	0	-176.918098	5276.74131	-182.818093	-186.658016	24.5729729	55408.1785
38	297.183278	0	-262.177547	2468.44827	-90.9698632	-112.0232	143833.539	-158.267543
40	301.263569	0	-218.737014	53827.0256	1064052.87	31167.8092	81346616800.0	-114.827011
42	300.995761	0	-214.83241	83.2542896	982.484426	498.743159	47272.5792	-110.922406
44	301.54154	0	-240.749041	109.550904	1721.23776	1154.63643	128826109.0	-136.839038
46	299.068239	0	-287.464623	-167.453364	-112.511927	-179.463471	999.852735	-183.55462
48	300.354308	0	-213.982608	367106.375	3207.24783	1445.09193	130510964.0	-110.072604
50	290.341676	0	-145.314312	934.788603	-94.8847031	-155.054312	813.402986	47991.4192
52	301.755044	0	-157.560645	1064.51002	-166.388378	-134.716441	-118.380375	2860.05166
54	303.288667	0	-205.597198	12371.8862	151225.713	15858.3711	21734242.7	-101.687195
56	297.40029	0	-206.342093	62692.1875	7355.64145	9157.76733	3218580230.0	-102.432089
58	296.048127	0	-215.894976	3695.18276	31246.8276	1839.80255	19382.8667	-111.984972
60	300.912151	0	-245.400623	1124.70234	4464.19016	3237.17243	914954.569	-141.490619
62	300.315354	0	-188.809448	457.778834	408.948636	429.985271	74375.1528	-84.8994442
64	297.760849	0	-199.095169	5337.2343	-147.245798	-164.407731	-159.915169	4641017.01
66	298.246949	0	-228.739831	1488.28303	21.7557858	80.9633714	1037.24872	-124.829827
68	295.070415	0	-216.89542	179587.733	7325.54492	784.272738	144251.479	-112.985416
70	296.724003	0	-217.021975	192.946696	758611.217	177277.145	3791.22686	-113.111972
72	293.353665	0	-191.254832	238.434981	-136.124637	-120.654978	2692.48737	-87.3448283
74	296.851805	0	-298.646581	-96.6030791	-239.560297	-224.768083	13398.6556	-194.736577
76	295.429398	0	-261.252674	-192.895009	-238.711779	-225.952884	-222.072674	12455834900000.0
78	300.780357	0	-202.343808	46320.8956	-191.977228	-172.788452	-163.163807	35230.6203
80	295.677566	0	-260.81967	668563.915	1431503.6	122998.181	829865739000.0	-156.909666
82	297.962392	0	-232.957504	16356.1108	216097.306	261519.783	71880.0616	-129.047501
84	300.089892	0	-234.887475	1048.81753	-61.2626365	-68.7189899	2841.35252	-130.977471
86	301.542048	0	-176.338324	352664.739	30763.7625	1527.95087	448759000.0	-72.4283198
88	294.675013	0	-251.714508	1029.88043	4.22045447	-100.708637	137.639946	-147.804505
90	294.728725	0	-224.617776	29803.6364	2280396.04	144412.334	9241196770.0	-120.707773
92	302.399515	0	-232.442551	5982.57583	3328.74553	14863.4577	58400.4341	-128.532548
94	303.036821	0	-228.290331	836.612414	2145.78525	1849.87882	21342736.6	-124.380327
96	295.462617	0	-304.972202	258327.098	506098.204	21045.3882	83744.5495	-201.062198
98	301.826935	0	-163.402441	234.197141	35128.9453	47170.6687	177024.351	-59.4924369
100	296.723049	0	-254.393161	1175.867	285.644087	213.709973	18217.1536	-150.483158
102	299.443754	0	-249.615724	81.6800332	45068.1592	418.646922	15435.6945	-145.70572
104	295.357206	0	-213.974893	536.38287	441.562735	616.713695	80635919.2	-110.064889
106	299.284274	0	-220.139799	4343.92654	57303.939	5949.81103	10850363.4	-116.229796
108	297.369279	0	-169.722005	216.747855	-105.357289	-118.081072	1349.65522	-65.8120019
110	295.513624	0	-218.574765	107330.596	7652.74645	4963.90209	69961080.2	-114.664761
112	297.050429	0	-110.360346	353.18281	-29.7549082	-120.100346	937.345765	1421659.59
114	302.421696	0	-200.521191	4242.78233	-153.006969	-161.652325	-161.341191	29546.4436
116	297.270892	0	-243.22244	3669.29065	179.369398	76.7056421	6168.03138	-139.312437
118	299.258406	0	-179.913172	-92.4668458	541.984638	-189.653172	3311.20976	14279505800.0
120	297.771049	0	-230.170027	17471.3914	16026.3314	292.520562	104637.379	-126.260023
122	291.518063	0	-198.803718	31592.4915	47528.7138	798.698429	17749.2685	-94.8937139
124	300.012737	0	-238.596275	528.613147	646.553767	154.555828	25035.4647	-134.686271
126	301.249823	0	-166.947486	-84.9793621	-198.413861	-163.788534	123.08352	938.956683
128	301.635555	0	-279.268989	22473.1143	102815.058	23516.3939	34177026100.0	-175.358985
130	294.342738	0	-201.29279	61040.6566	170.620825	-161.507836	-162.11279	113035.323
132	296.840842	0	-225.237081	77488.3123	1129359.65	2717.98687	811251793000.0	-121.327077
134	298.677342	0	-261.32441	11500.9845	1552329.12	4107.38797	3766411.56	-157.414407
136	297.693392	0	-227.496044	580394.979	6286.99936	1286.4989	3200567.18	-123.58604
138	296.189982	0	-257.889916	39104.8236	-205.080369	-217.143111	-218.709916	20188.879
140	297.895607	0	-219.861117	-54.7541976	-251.26368	-220.975614	1309.029	1819.48961
