time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5
0	301.804718	0	-281.111594	2593.32355	-181.517191	1040.11117	-261.991593	308323477.0
2	297.11767	0	-271.6017	-271.6017	4034.64691	-30.7776728	34096.2417	66023.8762
4	296.235461	0	-169.539279	-169.539279	23273.2391	24396.6133	4550389.94	420479145.0
6	300.506893	0	-221.364984	-221.364984	1114196.89	10921.5225	134131178.0	886968.736
8	302.839868	0	-208.469992	-152.825396	-195.983953	20.0395518	-189.338482	-76.6517364
10	299.327206	0	-230.945188	-174.411396	-137.732258	-60.1751835	21336.4559	3076.22339
12	296.874681	0	-194.029039	-194.029039	1135.51656	139.058483	201.775142	4944.13636
14	296.77171	0	-160.732577	-75.17753	-161.562577	46.602058	560.145189	631.626031
16	299.255773	0	-235.686845	-76.5735699	-236.516845	-18.702159	4863.73322	3924.25013
18	296.388496	0	-225.978274	-225.978274	829102.257	55309.5191	19273553.7	74896187.9
20	295.387981	0	-164.472092	7025.50977	-54.6535748	43.8088229	-145.352091	2069.43555
22	302.24522	0	-275.858335	-275.858335	2431614.28	13547.2751	75354431.1	32358378100.0
24	295.487761	0	-288.394021	-231.018734	-255.376086	-10.9290933	-269.274018	3760.67749
26	300.614478	0	-231.205683	-170.498747	37.4438867	-60.4356792	3870.59091	262526.54
28	297.814393	0	-225.371491	204.766931	-142.801833	-54.6014868	5378.62087	3384510.75
30	295.861391	0	-213.817404	67160.7957	-214.646789	-22.4795815	151.150205	102765.557
32	299.214281	0	-266.128302	-136.325025	-266.958272	-67.3033736	131.118299	68996654800.0
34	296.357311	0	-169.789525	-91.5175204	-95.7207458	34.0308022	-150.669521	89083498.2
36	302.084886	0	-245.82964	-119.945995	-246.65964	-29.0918478	197.137808	612510.126
38	297.759822	0	-243.584113	1977.87717	4112.41174	1498.05566	84690152.6	-185.604114
40	296.516115	0	-216.715193	-140.289517	-176.56178	6.76560226	-197.595192	12400919300000.0
42	292.336965	0	-187.856598	-162.663876	-188.686503	34.8277047	19827.8739	2860.83133
44	299.461517	0	-219.962306	345.734308	-220.792153	-25.1774175	7773.67261	255.858145
46	297.626729	0	-300.376857	7025.72315	97996.1782	45970.9598	22751480.0	-242.396857
48	294.453481	0	-231.506165	-194.847355	-232.3361	-34.5853702	292.34652	10007.5734
50	295.995738	0	-214.574049	-77.0858423	-215.404049	60.0863507	5861.90867	14189.807
52	296.71259	0	-212.965172	417.465799	-213.795172	18.9999852	1870.55086	564.762191
54	295.650461	0	-251.424189	-182.665517	-252.254152	-53.1086952	31611.9525	283420350.0
56	297.11608	0	-217.571729	57072.8532	-218.401114	-26.233255	173.85686	2197.6428
58	297.560808	0	-172.812636	-84.2792811	-131.62364	48.9518966	-153.692635	51.6661928
60	296.765825	0	-189.961462	-189.961462	2221.94342	34.4351141	575801.286	6739.86609
62	300.607826	0	-214.494648	295238.387	-215.324647	-5.69825082	41207.8595	202695.999
64	298.237363	0	-246.764126	-246.764126	1238.20002	8.00231482	1005.1299	38724.7713
