time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5
0	302.323893	0	-187.658156	-40.0709555	-184.236423	-153.411642	-145.558153	91612.603
2	297.612997	0	-161.70893	2229.37655	-138.046043	-169.80893	444.614178	183022665.0
4	296.276152	0	-222.676964	145.794594	-206.703353	-196.562476	-180.576964	4614.75062
6	301.636155	0	-177.192535	5282.95479	-206.167986	-179.232096	739.927692	131434.233
8	299.451865	0	-177.129752	88407.9577	15.2595188	-185.229752	1142.7457	13536323.7
10	293.463731	0	-188.131219	60673.4496	-194.39246	-163.493965	-146.03098	469917.392
12	295.373511	0	-243.902057	1373182.3	-223.419409	-199.315224	-201.802059	56093.7727
14	295.696238	0	-184.728868	618258.002	-213.92362	-177.570555	942.187458	23795097.3
16	297.288804	0	-225.619157	-225.619157	2741.13592	-151.328812	12393.9653	68651.3783
18	297.401235	0	-194.756314	-122.477508	33.5038224	-202.856314	19149.2631	6309493150000.0
20	295.486636	0	-175.155081	-102.703416	-179.895072	-144.286962	-133.054954	5818.35401
22	296.943497	0	-148.233946	1529.02704	210.414068	-156.333946	24512.9851	1320059700.0
24	295.38066	0	-144.857695	2281.4724	54.1066276	-152.957696	10810.1419	6901217680.0
26	301.622923	0	-167.886997	3425.5447	-197.084612	-158.776198	413.284636	2232.31879
28	294.446826	0	-180.465803	149.250998	-158.082349	-145.18806	-138.365804	13205.8559
30	295.060213	0	-181.60714	-39.4904708	-210.801817	-174.483764	976.920944	5824018080.0
32	298.719074	0	-175.947034	23341.5018	-205.114358	-173.306043	2587.15746	85744.1971
34	297.994322	0	-253.547206	1423.08472	-245.684182	-206.792106	-211.447207	3256.56489
36	295.85103	0	-227.73248	-80.4199005	-210.959004	-185.416804	-185.632481	14172.5143
38	295.989328	0	-170.098354	949.427895	-199.181941	-170.563639	2281.95168	6807.51304
40	300.149262	0	-193.212659	8277.05348	-64.9884268	-201.312659	3616.52041	13964.3835
42	301.67902	0	-180.974881	9.41078134	-210.172623	-171.728331	2679.9214	12707.6955
44	293.695975	0	-200.963082	443.673738	-230.160855	-191.682961	371.581724	2022385.45
46	295.589092	0	-174.122558	25465.5057	-96.3679551	-182.222558	734.310245	77017.4151
48	301.525109	0	-261.28014	-64.0373627	-249.339535	-217.195295	-219.180142	2969.94999
50	292.977603	0	-150.241324	248.889988	-179.401499	-148.087001	1590.55859	755.200129
52	296.044748	0	-250.199594	22961.7068	-226.050566	-207.762287	-208.099595	2868.01051
54	296.997285	0	-166.391131	81.5364332	-195.566193	-163.084373	149.735217	749.689528
56	295.110146	0	-165.280708	6240.91226	-194.445163	-162.846823	269.276258	1853.37635
58	297.149924	0	-120.945613	236.683701	-150.136012	-115.281714	719.528791	21628.3294
60	296.410216	0	-210.173901	-109.422707	-169.833122	-218.273902	8353.41771	68514515.1
62	293.742796	0	-252.240937	260.074926	-281.438746	-242.92002	130.759091	28461431.7
64	298.835379	0	-243.085905	1477.04634	-199.561917	-203.608899	-200.985906	10190.7836
66	299.671309	0	-223.53525	-167.583949	-182.153155	-201.296247	-181.435239	7004073.65
68	298.467608	0	-235.375388	828.644244	-231.206719	-202.140449	-193.275386	2045.14242
70	300.090099	0	-236.649597	4511789.55	-194.726284	-190.612903	-194.549599	40746.5257
72	300.892428	0	-157.008572	94.4213978	-185.390541	-161.964999	132.861197	18184.9643
74	299.453102	0	-171.104431	8310.2704	-57.3561683	-179.204431	160999.276	101359.073
76	299.292298	0	-179.6989	98.2524336	-208.874926	-176.29505	149.01763	122482.469
78	295.791999	0	-214.3617	15.6874561	-14.9678658	-222.4617	-17.2963827	549.218726
80	298.452918	0	-162.1643	4215.41414	-191.364299	-134.315342	2682.06373	1434.66266
82	295.476858	0	-208.345053	5369370.25	186.284956	-216.445053	1956.25395	174638.038
84	296.574344	0	-171.312235	708.419157	-125.636898	-179.412235	18552.6406	69997.581
86	296.689663	0	-209.058827	-209.058827	279.082716	-132.903204	6790.23303	8027.99793
88	296.022542	0	-209.094299	194.673532	-238.291661	-200.233379	4771.28432	33104.4351
90	298.408506	0	-171.394607	751.807168	-132.997096	-179.494607	1075.86735	57751.0851
92	297.595011	0	-227.496769	380.985421	-256.691652	-220.275649	353.22035	339.029853
94	296.056205	0	-254.023559	-180.176624	-82.6269877	-213.704545	-211.92356	31920.6408
96	294.232736	0	-165.650021	3230.90429	-159.396411	-136.953376	-123.55002	322.577159
98	300.6526	0	-178.34168	12865.8804	-177.323373	-149.592184	-136.241668	24812311.9
100	299.301597	0	-114.13578	336.901056	-143.315658	-110.299814	1661.6678	22359478000.0
102	306.608197	0	-188.296437	256.156171	-96.335037	-196.396438	269.895213	4525361.89
104	300.768943	0	-168.602282	179.03257	-197.76062	-166.558756	442.333498	2867.4323
106	294.549602	0	-133.038989	25890.3145	-101.086246	-141.138989	100399.631	2140.78937
108	293.534121	0	-177.788149	973763.988	-206.913884	-177.160627	48.2726623	419.010634
110	293.809403	0	-219.616059	-155.613024	-248.816058	-191.126178	6892.5925	31928.709
112	297.290607	0	-157.025628	-43.2596776	74.8561211	-165.125629	2219.20166	36034.674
114	298.797964	0	-166.701556	2687.86507	-72.6814289	-174.801557	13006.8717	294172.179
116	295.384608	0	-211.752425	-135.517426	-240.721542	-213.857784	1219.30476	7761.14245
118	300.807177	0	-141.508554	139177.432	-105.899001	-149.608555	904.67237	3355.57489
120	298.251105	0	-211.132874	36013.7561	-223.102071	-219.230508	56533.2784	201353326.0
122	295.926859	0	-171.002463	-123.474727	-10.3884815	-179.102463	8875.61951	21531.3931
124	297.376468	0	-159.352916	158.287729	-175.453974	-167.440351	773.684749	21332189.4
126	294.198864	0	-164.629292	52022.1605	-193.75243	-164.085655	182.644851	365142.961
128	293.989774	0	-191.878659	4968.87295	-189.407506	-158.752108	-149.778653	2743.61308
130	298.592158	0	-240.292952	60356.1497	77.337467	-208.984063	-198.192953	30394.2764
132	302.49573	0	-199.564811	94.1858169	-228.763594	-188.789048	1005.01038	4189.36411
134	299.706535	0	-193.855725	460104.924	-192.205593	-164.533267	-151.755716	20466.0694
136	298.562378	0	-190.271477	579.503366	-110.766672	-198.371477	5814.21446	6630623200000.0
138	298.573272	0	-210.856932	1573.28596	-238.493528	-217.075268	1123.00195	3612.58732
140	298.444222	0	-186.973076	-186.972989	99.5951194	-169.659211	606.325207	1984.76313
142	296.821362	0	-276.54877	34985.9875	-260.273959	-230.383983	-234.448771	2229.12275
144	304.867442	0	-203.148055	188.527396	-232.347651	-189.63951	55.7521995	46600.229
146	302.09254	0	-180.012432	2402.4067	-209.210228	-170.707289	458.688122	18038.1578
148	296.442796	0	-162.825278	73.7124305	34.5997988	-170.925278	10833.1977	360.144069
150	298.271804	0	-235.652218	33844.1209	-228.177496	-202.739395	-193.552218	62421.1327
152	300.265889	0	-220.286949	5954.67343	46.2399519	-228.386949	21697.6819	12014212.2
154	297.29648	0	-258.497927	-91.5462586	-250.220943	-215.550936	-216.397928	207045.413
156	301.005997	0	-157.251171	-33.7976204	-169.539067	-165.348481	7250.03227	1401.64825
158	302.025975	0	-273.078013	-145.178137	-261.677634	-228.131458	-230.978014	811.124409
160	299.31378	0	-155.621747	26723.2226	-184.76408	-154.375739	1809.80444	9979.09017
162	297.558852	0	-169.907104	580.410007	-199.104099	-161.36829	169.904912	22399.0556
164	297.149605	0	-174.781334	173.573033	-136.51382	-182.881335	248.31512	2036.06785
166	297.890766	0	-117.100964	29500.2358	-146.264794	-114.709982	1654.29062	1619.28599
168	296.572441	0	-283.771357	912.98863	-242.160662	-230.584354	-241.671358	13776.061
170	292.924376	0	-199.911338	1351.06237	-229.111339	-154.480825	3324.75872	3989242110000.0
172	293.545642	0	-242.868897	1145.1898	-271.370345	-247.49081	2624.51291	8121263.85
174	300.650393	0	-192.152623	1307.18429	541.330796	-200.252623	10406.3733	6051006490.0
176	297.226013	0	-225.063218	6578.06924	-254.263176	-205.979535	415.18118	3689.65108
178	304.168444	0	-151.012465	1125.91411	-34.7898105	-159.112466	493.350753	34546.8116
180	302.917979	0	-175.030479	6261412.25	-204.223128	-168.706074	260.641496	106164.601
182	293.870912	0	-208.532395	850.640109	-131.886272	-216.632396	15127.5912	45176.2299
184	306.701454	0	-174.463365	136.682996	-46.8066893	-182.563365	953.213649	126670.385
186	292.865878	0	-229.163762	-98.8473348	-258.35719	-222.562398	187.23607	1479985610.0
188	300.901428	0	-137.683143	136915.016	-111.369638	-145.783144	5037.16247	144761553.0
190	305.29925	0	-181.327928	35818.77	-210.526662	-170.649664	27336.7345	3664.40911
192	294.071476	0	-179.104821	10661.0097	-208.161808	-180.066801	201.653016	4297598.28
194	298.403273	0	-232.588796	4257.68709	-123.406724	-240.688796	1712.86414	81291.6051
196	295.338858	0	-211.560681	-59.301094	-240.760682	-161.907239	1601.95386	575563071000.0
198	295.952291	0	-181.857055	406.216237	-211.054006	-173.354614	144.07729	16293.5197
200	295.742391	0	-223.226708	4957.87091	-199.614442	-175.171008	-181.12671	174680.729
202	300.611468	0	-172.802483	-82.2232173	-153.170633	-130.810167	-130.702485	6664.43406
204	298.546583	0	-118.915543	554.14818	-66.9118153	-127.015544	5647.7977	46064.731
206	295.219528	0	-254.93968	-1.89466845	-229.07997	-203.139783	-212.839681	213186.507
208	291.739272	0	-198.732085	6351.95873	-188.746221	-156.312765	-156.632086	9060.54644
210	298.18524	0	-208.006367	1184.38963	-237.202734	-199.937278	1192.31088	86225215800.0
212	291.246919	0	-190.21405	1462.76696	-219.393742	-186.400744	950.194037	1879.46683
214	293.60041	0	-254.28504	106.983255	-242.643473	-218.482886	-212.185042	2137.16601
216	304.760885	0	-183.922006	-183.922006	-132.691029	-138.001245	32533.9149	9458.63429
218	297.650903	0	-163.178282	-32.724129	-175.695418	-136.968763	-121.075329	5382.44991
220	296.702932	0	-190.680596	-190.680596	68.09196	-142.983044	308.372976	2477337630.0
222	298.188624	0	-227.189116	-120.868221	-57.1037353	-196.157908	-185.089117	8277.97824
