time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5
0	301.193616	0	-106.74594	-106.744819	-46.4201034	-56.9142246	8858.95925	34157378500.0
2	297.637081	0	-166.801553	-166.801553	972.444592	71.6863805	121399.953	24504119.3
4	292.065829	0	-222.524058	327.172804	-61.5313778	-125.317557	1918.36343	-164.384059
6	294.175035	0	-189.012078	1219.21744	1973.08227	-104.384009	-173.012078	8624.44951
8	295.182767	0	-176.38683	-28.9302906	-149.666767	-145.636791	361.719947	927.388701
10	293.732835	0	-145.526758	-98.1698656	-146.226708	-87.9781924	224.673054	288.807587
12	298.901257	0	-117.119288	-84.1024197	-25.3599874	-55.2043415	-101.119275	1800.61806
14	298.625129	0	-105.177837	1144833.13	-70.0087969	-74.427836	286.175108	9130.113
16	295.500956	0	-260.350301	-260.350301	25087245.7	542902.856	23862034.8	234496342.0
18	296.003664	0	-134.912934	648.621699	-68.1103072	-104.162934	33390.3238	1609.31092
20	297.791289	0	-116.315134	-116.315134	311.647616	81.025712	4348754.99	90972143.5
22	296.558089	0	-136.02522	821.973924	-75.258279	-105.27522	2253.39414	1438826280.0
24	304.852391	0	-125.799155	-69.8746995	849.813687	-95.049155	7007161.2	1107827210000.0
26	297.768935	0	-145.933219	8885.48072	115.9187	-115.183219	87.6066135	406051015.0
28	302.252925	0	-155.969645	-46.4564766	-124.672167	-125.219639	191.764505	30020067900.0
30	299.009919	0	-166.581563	2684.77654	231.271871	-27.2465887	-150.581563	10112974000.0
32	296.080745	0	-162.327582	890.864951	-162.922275	-123.699923	224.429201	90369436.5
34	300.64167	0	-98.7649698	8301.87552	-99.063887	-63.3053756	32.6731339	72002191800.0
36	299.218571	0	-147.723993	1995.68882	-70.3751134	-116.973993	12470.9763	3574196900000000.0
38	301.049886	0	-169.586016	-168.488729	-159.907354	-136.182178	1307.0422	159576696.0
40	300.486422	0	-110.493999	-110.493999	39.0446808	-28.131709	136063.776	94451.0304
42	295.651999	0	-172.092559	-172.092534	-143.100545	-110.581142	714.519901	44039.2361
44	294.453649	0	-127.339882	-127.33988	3792.69366	-62.5261654	288.159937	2086874740.0
46	300.19219	0	-122.356285	-122.356266	-78.2970966	-62.4144411	1766.13665	652866823.0
48	296.991906	0	-132.472848	21.8986471	-123.625116	-101.669738	2980.39877	1510772980.0
50	295.027958	0	-149.130343	-149.130343	9475.58701	35160.2236	3759168.91	2958.81225
52	296.828992	0	-60.900187	22.9516469	291.287916	11.4779346	-44.9001869	1168.84244
54	291.275042	0	-157.824433	-122.223616	-105.378744	-127.074432	2628.8395	7090440.07
56	296.254569	0	-181.306351	2350.9941	-105.17408	-105.756782	-165.306351	13700.631
58	298.343336	0	-217.370976	-217.370976	974.726021	458.713372	2801628310.0	85953741100.0
60	294.164029	0	-169.639343	-169.639343	45.1559882	-34.9884667	375779257.0	16536270200.0
62	296.484825	0	-112.766888	-78.3065928	-113.408257	-72.7113688	273.102939	24206.3557
64	303.954272	0	-165.287011	904.151393	-119.528965	-134.537011	2418.03265	6394.55811
66	295.706598	0	-222.037108	165058.939	832038.917	1131.88081	631079.053	-163.897109
68	298.077579	0	-175.948223	-79.4105871	21977186.6	8240.94169	452677523.0	-117.808224
70	296.577426	0	-156.579091	-133.035297	-154.484082	-124.859872	330.294561	279011943.0
72	300.948361	0	-131.134707	801.035229	-7.79737671	-100.384707	6101.9667	183900.425
74	298.660855	0	-85.5218179	-85.5218179	13722943.5	41305.0313	1539733240.0	991861811.0
76	294.759269	0	-85.1751557	367.755624	-85.8749639	-30.9692643	1538.06056	771.14579
78	298.256537	0	-130.22536	14.9232533	-130.925343	-70.0298867	2.53444597	36591941.2
80	296.715995	0	-164.693458	821.627419	46.1824603	-133.943458	19033.5397	519589.754
82	295.909376	0	-130.054569	-130.054569	14.8505296	-60.771228	1152241.25	1734714.5
84	297.45927	0	-191.89725	43.3030895	-119.666947	-112.567292	-175.89725	592954962.0
86	296.183383	0	-98.4166168	-98.0653723	-93.4315952	-59.0877685	1792.79682	592.670729
88	296.953933	0	-141.685966	5887552.95	-91.0726953	-110.935966	904.925155	502723190.0
90	305.07893	0	-187.793155	-187.793155	8716.85014	1561.05242	68227.8737	944.268885
92	301.793411	0	-85.6082717	-81.9467305	254.356272	-54.2166511	278.771008	18594.2171
