time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5
0	298.630635	0	-129.575933	105744.73	518500.867	27549.0435	359222.871	-36.2659357
2	295.566536	0	-50.8246903	1265.99255	-61.4081085	-59.1834774	912.420053	4885.16395
4	297.469491	0	-110.341492	-110.341492	1486833.48	472589.381	17199074.4	11520.6548
6	295.934529	0	-104.099464	6599.89409	-97.9706713	-112.459463	3145.46549	110331.332
8	295.055091	0	-50.2040007	598.621497	325.747941	33.0342787	50887.0076	43.1059968
10	301.620183	0	-75.7650614	944.676339	-8.81914356	-84.125061	2212.06256	33218.6463
12	293.350779	0	-99.094224	30.5326714	-85.9857305	-107.454224	9228.75646	12810.861
14	297.583757	0	-133.749853	-133.749853	7848.78294	2765.7669	637758.478	71039.7485
16	299.679873	0	-104.404433	-32.2792836	-133.828259	-102.873363	253.72757	38557.471
18	296.832485	0	-120.938918	1278.48775	-150.403988	-113.885104	49.9538646	3336.06076
20	296.717032	0	-72.1944166	713.611338	-101.664341	-54.7685498	954.878262	171942.744
22	299.171987	0	-83.2866467	671.874774	-69.6265583	-49.7348692	-49.8566463	7504.19042
24	299.082568	0	-157.721505	18.0511202	-187.19101	-144.971968	1432.6042	369743.428
26	298.168811	0	-112.376172	1428.79244	286.731529	48.7944256	54087.8107	-19.0661748
28	299.002133	0	-60.3084979	48.1195726	3.06222832	-5.50868092	68.9107544	33.0014997
30	297.817904	0	-71.8740806	20129.3056	-101.342779	-61.521564	485.115851	2575.61907
32	298.882037	0	-150.009107	685.037525	615.571158	147.019088	85212966.8	-56.6991097
34	294.297979	0	-41.5141541	-41.5141541	2524.40965	90526.2311	633483.477	1626.91764
36	292.579265	0	-21.4402345	3590.08797	-50.908951	-11.0529929	312.617826	74778.109
38	300.037881	0	-133.223559	-133.223559	3603.93364	2838.24192	2588181660.0	8361.15242
40	293.435396	0	-79.3032097	9838.81647	-108.742545	-76.7657209	837.616482	3461.87814
42	295.258651	0	-116.486589	-75.9818234	-106.384372	-124.846588	983.907702	3698.04711
44	296.728745	0	-119.32261	-119.32261	17868.5887	1168.77155	14031.5766	18570.3804
46	300.693802	0	-65.6848974	-65.6848974	2333.70294	528.436264	1127800.0	475773.263
48	298.169275	0	-130.374602	-130.374602	10225.8678	799.506772	215203762.0	5253.85247
50	298.962857	0	-96.0693008	9209.27018	-57.1539819	-104.4293	92182.644	7858.89041
52	292.2401	0	-157.61995	337.528892	4758.72475	421.139902	25773.6566	-64.3099523
54	294.972408	0	-88.9294546	-88.9294546	61590991.6	1426386.03	25454.0018	4035990.98
56	298.404896	0	-134.266432	199.636065	12693.0568	138.747985	43336.5491	-40.956434
58	299.194469	0	-96.5125759	14.7161984	-37.2535086	-28.9739123	9392.39554	-3.20257833
60	301.481784	0	-107.107013	3109.50481	-85.108075	-77.5164883	-73.6770122	52462.3116
62	298.122532	0	-28.3778585	210.512204	-57.7744521	-27.9795926	31.1002392	982.706588
64	302.417378	0	-147.82675	139.175364	-143.915	-156.186747	174.069915	5567.03142
66	298.750485	0	-121.995393	2051.51398	447.063081	-30.3049693	1216.99511	-28.6853957
68	297.212122	0	-103.845249	-103.845239	150.612378	-81.446692	82893.1741	991819.997
70	302.275899	0	-63.70764	113766.834	-63.6837446	-72.0676229	2074.56439	8243.67179
72	296.441713	0	-104.444676	181203.556	-124.791121	-112.741521	443.470873	13553.6895
74	298.662239	0	-141.718681	4454906.45	-171.18088	-135.800659	3105.88667	84855.476
76	296.964778	0	-144.337743	-144.332802	-150.596529	-137.181336	534.771471	73508.8379
78	297.456935	0	-88.764882	89.5608316	-118.176235	-87.8200635	316.528131	600100.055
80	288.899169	0	-120.67416	-120.67416	205.507383	-71.1459494	937.920765	6622.76394
82	298.135761	0	-84.8956491	-27.9213593	-82.4917416	-60.9599792	-51.4656369	239638.11
84	298.572491	0	-139.295843	-139.295843	77400.9047	3.38964035	3576940220.0	127972.092
86	299.282964	0	-105.247864	-105.247864	6925.57094	-60.3705843	807.973965	413693.864
88	296.004823	0	-60.0820624	150679.183	-57.5933364	-35.6556886	-26.6520514	21999.4058
90	296.503782	0	-108.170456	11601.3751	-137.631311	-102.645854	-16.6448567	16184.4935
92	297.328771	0	-78.5689976	9440.2123	-87.0694742	-86.9284742	624.955531	6967.6323
94	298.963631	0	-90.2293894	26379.7318	-119.692721	-83.9231869	631.634771	3288.0399
96	300.155033	0	-138.437979	270.226565	-128.614286	-146.797978	6267.55408	134540.879
98	300.458703	0	6.66407193	6.66407193	9193.06229	189.318887	128601.256	18236.1107
100	299.19395	0	-75.593982	7096459.75	-105.046844	-71.6216468	214.789137	32201.3194
102	298.85109	0	-70.749037	230.168052	102.628335	-79.1090366	248.030228	195388.532
104	298.008062	0	-71.8169476	78361.2756	30.2023512	-80.1769472	613.424059	21324.0744
106	300.287362	0	-76.8660822	-76.8660821	41.8787392	-42.4470565	87.0113826	4501871.94
108	294.811386	0	-61.1762655	-13.7505277	1281.80392	-69.5362652	4821.23769	255250.115
110	293.469371	0	-68.3498952	-20.8435716	-71.7100738	-76.7098291	64866.5945	88802.846
112	298.011518	0	-157.931142	-157.931142	238.604104	-111.583337	820.01835	3331.79173
114	303.446881	0	-125.323191	356.35165	-107.949467	-101.062731	-91.8931864	151978.04
116	297.155194	0	-113.680767	134.91037	-143.148409	-104.801073	857.233001	1617.37715
118	295.602237	0	-69.5542685	39183.0329	103.519848	-77.9142682	11810.2388	5815817.94
120	301.703381	0	-12.4165834	1995.2199	-18.1914727	-20.776409	3817.38456	6383.99321
122	298.768796	0	-76.1587712	13322.1616	-104.912421	-81.0945421	243.007856	2546.72168
124	296.458959	0	-76.9679748	750.516522	-37.9681337	-85.3279744	2627.6226	427535.965
126	300.749511	0	-51.5562148	197.667135	0.377431878	-59.9162144	347.880478	4344.1082
128	290.199216	0	-116.931623	-116.931623	296.582359	48.7935524	623.814888	2031.20555
130	301.096019	0	-91.3480387	46583.3029	-120.79334	-88.2773985	462.323071	6897.28692
132	300.098976	0	-95.9145827	91.8804533	-125.368049	-91.8535119	149.679736	26071.0791
134	296.898627	0	-100.574358	131.732746	-110.269891	-108.93351	475.038523	14220.879
