time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6
0	314.635165	53.3450375	-557.427627	-557.427627	71058.1109	865521.674	1391424.96	1190.75597	2394919.31
2	300.678629	86.6882975	-532.339849	50735.4399	-389.389852	150560940000.0	15131017.5	796.020421	8733.79376
4	294.887936	99.4180025	-530.045833	140232.823	-387.095836	117320431.0	3136.76241	68.5404494	11722.6952
6	296.520195	64.478438	-558.416638	5959.24666	3395.82753	1351325.19	188602685000.0	53088.9838	-659.016637
8	292.878891	84.456202	-583.781552	76097.6117	2826.67287	171991.023	6720.8194	-431.381558	672.225751
10	300.148868	71.5796329	-551.390177	166624.707	9188.25194	321892383.0	378443055.0	-398.990183	-98.9449451
12	297.362321	79.9459835	-532.592485	-532.592485	37404.384	22513475.6	1164331020.0	471646092.0	1879060.95
14	300.695241	60.6180711	-579.805078	2566.03193	277404.769	14406914300.0	25805879.8	-427.405084	5518.59162
16	298.33143	72.6139584	-565.584455	51821.7942	5738.48432	1181615240000.0	37062.8094	-413.184461	2714.58575
18	296.925654	55.1115948	-478.744901	242720.741	7117.6785	6590935.16	247366.178	-326.344907	22311.6843
20	293.99602	55.8571045	-588.77045	11497.5809	68864.3976	1885149520.0	2272066.36	-436.370456	3010.96722
22	293.757521	92.6876365	-567.362799	4142.99763	48638.0232	138397.046	1613.62632	-414.962805	1805428.34
24	300.36531	57.9228742	-531.762211	7512.5525	62199.444	28541488.9	1563112430.0	-379.362217	3532.24099
26	295.430267	56.3442018	-520.00061	-520.00061	3459.22198	2056403.74	11013933.1	2811.11929	9479.44865
28	297.500369	84.4898131	-533.327165	-533.327165	29962.6095	120954.53	8662.19705	1506.13565	552542028.0
30	300.310094	66.1387814	-494.978105	-494.978105	2179611.87	255429.296	19252.9851	816.637115	916625.39
32	299.098283	46.9074741	-559.307214	12934.2235	179651.781	5460300.72	12661.396	34087.8358	-659.907212
34	295.398421	110.535079	-553.71461	141847.503	1385959720000.0	1110.90435	403541.978	-19.4743219	-654.314608
36	301.68745	64.376759	-513.989627	-513.989627	199192400000.0	1545322.47	43071301.0	4729.31681	272286.677
38	294.172313	76.5081618	-582.877134	1095.66538	4698.68447	52614.0154	641.918251	-430.47714	11299.9336
40	298.385427	80.1855521	-560.719824	-560.719824	48752.7526	3725403.47	1564766.96	10367.068	27550.478
42	293.537455	59.6262399	-563.306887	21376600.3	3210.78579	5471591800.0	11865000400.0	-410.906893	3617.76198
44	293.074774	67.238798	-571.414463	221600.532	1273.62128	95847626.4	126418077.0	36232.7458	-672.014461
46	296.202087	54.6011822	-577.182678	1700.00518	1129.21138	80333.3127	1518431920.0	10161.346	-677.782676
48	301.94005	83.1951229	-535.664935	7983.10478	64708.1539	8775501.59	147892.516	-383.264941	9310.89302
50	294.560729	73.7612516	-529.205668	55352.2516	145331.418	3094872200.0	2110647.42	-376.805674	104605989.0
52	294.789637	65.2544049	-516.509997	2702683110000.0	-373.56	60720.8179	23469371.9	33.2502297	42178.0705
54	297.177343	72.0875126	-582.764286	130452938.0	169686408.0	2021277610.0	26225.7547	-430.364292	1222.85311
56	296.928773	59.1937362	-502.562076	-502.562076	428725.716	2237001.42	220085987000.0	183333.424	1050523.19
58	297.289073	60.5630907	-565.148978	701.688842	740.239872	5730368.15	491073.215	-412.748984	2861.03374
60	299.173618	65.3443351	-514.975978	-514.975978	499633.973	37203.4709	147651.024	1578.26414	1596602.27
62	301.637704	64.3711847	-551.727815	548.981088	198.11187	11753.5308	6974119.55	644.781198	-652.327813
64	301.069671	82.7099363	-544.554724	15217.4682	13664.2948	767643.663	686601.628	562655.441	-645.154723
66	296.735757	63.3673026	-497.920598	-497.920598	27420.2738	394679.513	19206.3565	1573.87818	923735.616
68	294.922799	74.5912148	-558.323676	104.326231	2696.23603	1221722.66	818.682957	-405.923682	3151.49232
70	301.061639	52.2808222	-547.305246	1352.65051	226172477.0	3627013.06	43057.8306	32.1110686	-647.905244
72	294.214296	75.199139	-525.389648	9815.01315	-382.439651	1120594.99	694.080458	467.155002	19496.5992
74	293.436703	88.3044404	-527.429796	32989363.3	-384.479799	5226605.69	1214365.53	37082.783	11126.4482
76	296.593888	78.6199828	-545.029334	8778.46591	1607173.06	66721.7005	36028.3927	-392.62934	1056.11807
78	301.379075	67.0194632	-534.22705	7927.5993	16551.4443	1003.31458	7039.97814	2508360690.0	-634.827048
80	298.331598	64.294063	-543.833515	-106.158784	2017.33085	82420.2494	23833753900000.0	11683.1968	-644.433514
82	296.649324	63.9776356	-512.200865	13342856700.0	-369.250868	144091.132	10967.3593	5466.55602	651.887043
84	299.352588	66.7904445	-572.829992	1957.96776	295.968171	14973.1552	24113201400000.0	393.146999	-673.429991
86	292.697708	61.6514037	-489.828767	-17.1442256	19967.556	11332401800.0	347731433000.0	12595.6766	-590.428765
88	296.319731	94.994834	-537.137418	534.518397	-394.187421	7980970.89	4868.05726	314392.745	5514.85867
90	297.472198	45.6907251	-561.357802	493.013676	21356.8151	114.254088	5756251.93	1176.94455	-661.9578
92	290.462665	77.503721	-532.10729	-102.402264	-389.157293	538357.725	1326607380.0	34399.9783	28898.4245
94	298.234694	70.2478185	-545.081105	825.796697	-402.131107	261006.349	1681.60881	10184.9893	78128.7924
96	303.181255	54.3150934	-538.53815	651.619759	3537262.34	701878857000.0	184476.395	22877.0697	-639.138148
98	304.698176	83.8590781	-573.266806	12671.7583	-430.316809	8074707.72	81506.5466	7117.36678	1107320.93
100	295.271827	63.6088196	-535.029771	64873.1249	182384.106	50168.66	126159.142	12724394.1	-635.629769
102	299.836905	79.3424026	-519.480361	374.987145	-376.530364	365518684.0	121360.128	18293.8409	1711.25081
104	302.494702	66.1657314	-541.460574	63.674747	2849.43588	322083843.0	155211.285	40152924.0	-642.060573
106	302.109354	79.7469935	-537.945269	47957937.7	880.655669	403261.899	4926864080.0	1024509.31	-638.545268
108	290.186584	58.3598166	-546.860596	5096.49574	-403.910599	8797852.6	163952.312	20811.33	7810208.83
110	300.72097	79.5350488	-513.584897	7599.29571	216196.207	36228.2532	84389.1983	55829203.7	-614.184895
112	295.043031	71.012748	-518.751465	181314572.0	1620.22265	499878.4	669896864.0	19969.5344	-619.351463
114	296.787099	61.7350106	-545.072151	13636.7607	-402.122154	1648755.27	786444.621	5845.54517	29007.4796
116	293.357531	62.3202149	-526.101466	3687382.66	137.61337	40354.6393	348391.428	57497.8271	-626.701465
118	301.266478	73.9330406	-570.403665	58370.0949	872.357963	1466767.77	1481159.03	244396806.0	-671.003664
120	297.525164	76.4763988	-521.459837	262712508000.0	542755.301	2059894.33	29387009.4	24516.3734	-622.059836
122	294.841577	56.5651733	-588.441697	9034.8998	2.30764322	11459.5625	6056124.77	-436.041703	4995.74655
