time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6
0	317.351949	69.2758793	-566.759904	-566.759904	918086.958	235128.744	38222.1786	16196.5685	18208.9044
2	301.288112	70.6556057	-519.746591	229251.164	57835.1581	23954721.2	6253051.97	-373.896585	91519.2307
4	297.535749	54.4222196	-505.353621	-505.353621	30392.9432	1967593090000.0	888714.57	44148.9103	38764681300.0
6	299.86181	63.7395576	-500.031973	-500.031973	194255.687	5997691.15	3580600.77	4866.39386	2434.14643
8	299.108701	83.5016184	-546.234636	2191.27747	-402.14464	55458797.5	70923.9642	-12.4610796	557963.147
10	293.920752	72.6293773	-555.159183	345.241112	6678.91882	28180.0086	-316.699176	126.850275	9086922.02
12	296.64405	91.5076177	-510.019551	-510.019551	69688.7378	65503.7862	79710825.9	20099.4072	139568.011
14	300.075044	69.5520555	-508.187653	-508.187653	9254.24414	261933.473	4015756.51	3215.30804	119220.02
16	299.131229	68.4159757	-542.433333	-542.433333	4792.47438	8450027470000.0	17657.2056	512.511063	1456804.64
18	291.809403	62.2495447	-514.857178	-514.857178	4397587.3	170534742.0	135111.822	24136.4696	2062119.23
20	293.962856	81.894074	-533.843223	85640.346	1329.33986	5060.65956	5660.69681	538.229019	-641.22322
22	301.048469	62.8000381	-552.718294	2592.72977	-408.628298	5146100580.0	945.883293	822.927327	3868.55195
24	298.395366	61.8152937	-515.842775	-515.842775	22566.7008	19574945.6	2712974.16	11994.2901	45560124.5
26	297.871187	68.4776159	-487.025425	-487.025425	44749.9768	1147591500.0	253467430.0	855.434516	677163.134
28	295.628069	84.1212361	-503.769386	-503.769386	2272820.01	700514997.0	7492.82773	12381.9023	43469.5122
30	297.745397	72.0411378	-529.054749	-146.28474	1222.68344	24038048.2	-290.594742	323.287803	884.787261
32	298.672646	75.4520651	-519.103734	-519.103734	278436.981	16502719.5	103559.201	171992.136	6186988.14
34	294.867262	64.2031567	-511.953218	-511.953218	1618.91579	16074654.7	908159642.0	12992.3962	6059.07327
36	298.172729	54.8491458	-553.508078	79.8204839	325.727758	23270.1496	-315.048071	-78.2226241	374125.637
38	301.896562	80.4582358	-582.467879	922.303481	18756.5853	15267240.5	-344.007873	-109.845946	-149.39941
40	298.132785	66.3530758	-515.372708	-515.372708	278538.892	2082489.83	16608862200000.0	636.256656	46187.676
42	298.995476	81.2681928	-543.694953	49.3796645	210.825818	224207027.0	-305.234947	822.213627	-308.655695
44	298.978022	71.9587561	-554.269354	3204.38283	-45.3226099	8141.12478	-315.809348	337.475224	-406.739639
46	299.355799	60.5343106	-550.710472	-172.145098	739.265161	37060.5505	-312.250465	651.444431	693.911867
