time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6
0	302.885066	44.2794051	-545.186018	-545.186018	80860032.0	497066809.0	216115282.0	2798635.61	108272.398
2	295.749777	65.6670344	-470.939878	302.537794	109221.337	46434.7635	29356.0542	-317.349881	2705332.13
4	292.672605	62.2845553	-498.069374	3084.96745	-363.929375	23334049.6	68270.5767	6144.13193	2.55749154e+16
6	303.243494	60.5036679	-425.416068	-425.416068	167829.336	61672341.7	6769.166	419893627.0	187933.779
8	308.818249	68.3974665	-472.21041	4636420.33	176053.895	2024606.66	-246.700415	651567.012	143871.729
10	298.306376	53.8955057	-498.791487	-498.791487	943531563.0	7107258.55	84804499.0	47954.0221	185461.326
12	302.134601	67.8420388	-470.957566	-470.957566	2022.60666	833.612935	327333791000.0	3150.77863	1409.92153
14	299.653247	68.923359	-485.680861	-485.680861	2417179.3	169557082000.0	627054073.0	962201.949	45235711.9
16	297.706593	65.56927	-514.91887	42932.2681	49655.4803	19945.676	155702.936	395600.187	-622.938867
18	301.931422	71.8564504	-461.884512	-461.884512	30067.3744	2824.08292	2648882.0	3865853.82	-38.7131035
20	300.895745	74.3630771	-510.911014	5525314150.0	95977.1501	3939509.31	1790317840.0	390545.613	-618.931011
22	299.635441	61.9785151	-503.530521	-503.530521	248965474.0	795700.411	7663860.37	8232.54399	1884936.01
24	304.854387	83.9384352	-504.019214	20157.6732	39890.0446	9329163.25	-278.509219	11545.841	1630.67077
26	296.093928	51.2968842	-488.375449	16866378.1	3285.34978	13580.379	743767.456	4934.26474	-596.395445
28	300.221921	67.5421669	-424.425774	-424.425774	29477.9426	187839.95	633492.12	2840.32991	2049.79848
30	296.773714	79.5819788	-426.278205	-426.278205	577755.91	485887524.0	53552.2731	8692.3113	15638429.1
32	297.655307	64.5991266	-455.985994	-455.985994	17339798.9	1177051.29	113550.555	3817513.14	51947.4942
34	292.572326	66.1564501	-516.581227	1609.62738	656.436817	2484666.04	-291.071232	813531788.0	229468.941
36	295.055737	43.9896224	-454.778201	-454.778201	101218060.0	2678440250.0	191046.612	101113.878	1636.53377
38	294.961352	68.7633737	-490.160387	-490.160387	2251796.37	56902293000.0	81964.5676	8196.87086	140373546.0
40	298.334612	58.7814537	-467.75133	-467.75133	521431.656	2619983420.0	216137392.0	712800.045	4149060320.0
42	295.785597	65.0372859	-502.905736	-502.905736	4999.25322	737719.797	3742587.35	13725.811	140870.165
44	297.174331	87.4999931	-443.280302	5160.89928	177447.261	881.480936	-217.770307	2570.32227	3413.97253
46	298.262187	66.1914837	-468.885073	-468.885073	1893.95339	2230007.1	2340.99951	625.946612	6244.44851
48	293.691175	80.8641375	-478.996406	577.978806	49814.58	50728082600.0	11544.4114	-325.40641	4389.57471
50	297.238878	41.7812401	-463.813919	-463.813919	90691093.0	6139605.22	73565.8778	1483.56447	10310.8164
52	297.567534	66.610009	-489.846563	961.154008	119334.133	57569.6045	651450854000000.0	37960.4578	-597.86656
54	297.124252	71.7972219	-505.698604	1079903.03	1097.68848	1772.15209	58199.9992	1609.14355	-613.718601
56	300.650221	76.4741814	-501.088937	-501.088937	3020357.59	1047778980.0	1051098.56	1546.79395	651785.915
58	297.43583	56.5602285	-491.419175	238448405000.0	2479.90207	111946664.0	6545.94615	-337.829179	344507.159
60	294.47297	65.6890302	-470.130052	671084.162	193730862.0	271877.093	143499.42	629902.858	-578.150049
62	299.005531	45.9880266	-480.754353	-480.754353	16085295.1	297874758000.0	9978858480000.0	14857107200.0	549526.427
64	292.677374	61.7400621	-477.892127	233224.217	724988662.0	57022.5553	42122.6602	11042323.2	-585.912124
66	302.943908	67.6055268	-441.605503	-158.598548	-307.465503	223.373393	1014.04752	371.390772	-41.2889214
68	300.220506	65.2291173	-434.937037	-434.937037	91264.3768	642048200.0	139831.907	1204.11223	9.42259034
70	297.711854	62.6600195	-481.943566	-481.943566	157850378000.0	243220.125	119958017000.0	5464.29981	3713088.82
72	301.301533	61.2105633	-474.548462	-474.548462	5971.79978	51305603.9	252835.297	188.116067	-23.2817171
74	297.555695	61.472072	-470.087663	-470.087663	901065.08	49347881.3	263296.87	76110.456	17128.7913
76	294.487743	76.8998763	-416.500923	-416.500923	275934.396	433666.106	935745.818	16527.073	167910.95
78	302.400343	69.190822	-480.711052	-480.711052	469880218.0	318905.367	176699.97	423.00216	17800136.2
80	295.414434	49.4165886	-450.737637	-450.737637	10230.8027	930085094.0	284923267000000.0	4675117.64	67409.1237
82	294.943759	83.4844508	-455.345569	515819.24	2860553.12	112751.618	-229.835574	746841.122	47887.463
84	299.430606	57.6172	-468.608592	-468.608592	1298787.52	201546.87	58897.6172	10929.4663	77561.7831
86	298.415511	57.0348084	-479.673683	493.537704	-345.533683	3613.72254	8232.25376	34249.3383	124778.789
88	297.994291	55.8218598	-416.832493	-416.832493	5456.26614	1943674.64	46058542.2	62505.1722	13435.6469
90	297.458108	63.0232766	-414.013175	985600899.0	120616.12	-550.013175	1511.73056	-90.4729107	-147.836183
92	302.95325	63.8887668	-502.677843	-502.677843	1101.49074	24140065300.0	28858897.8	48396063.5	200957601.0
94	301.106853	58.7146979	-450.673458	-450.673458	2191.34959	27671163.6	636983589000.0	11358.1112	215191.858
96	296.811898	58.1991626	-454.847422	-454.847422	2271.95159	51962287.2	12007.46	1377.48115	14856.6604
98	298.320105	43.6609886	-447.472868	-447.472868	2621.86046	7642.34237	2566.35203	8241.19486	1999.99867
100	300.010866	81.5530268	-526.520826	14718.0722	12134.8128	530.029184	-301.010832	649298.68	131828.236
102	297.772017	34.8064433	-476.87461	-476.87461	28829784600.0	208970404.0	7726.32512	151187.193	3797722.53
104	298.013975	46.5361161	-461.809061	-461.809061	319741.853	3181625340.0	47189.341	31052.8322	117364.644
106	298.641094	48.9946995	-434.916231	-434.916231	326127.819	26426387.2	171276542.0	375.331449	163646.419
108	295.734806	69.3444921	-458.583719	-458.583719	174477.864	4464100.95	1095012.34	39450240.6	5810.5529
110	301.64708	65.8021754	-445.213153	-445.213153	99683.0604	547414.004	2465415.42	3982.93855	2706.67243
112	294.883489	62.6226027	-480.42893	102545.845	3152752.53	2689265.78	6705.80031	-326.838934	9004.3249
114	303.750873	59.092544	-445.73544	-445.73544	767.999506	2316135910000.0	1851352630.0	4307.3464	188389.035
116	295.15245	58.5636966	-438.254144	426.820008	-304.114145	91438.7969	21549.7784	74.1704324	-54.5724786
118	299.036999	68.2003787	-472.708351	-472.708351	138070.45	91157527.0	2249142020.0	3726.77513	3912247.58
120	297.942395	70.4988509	-471.131754	-471.131754	2834706.16	45644785.7	2486.43807	1451880.06	6149.72677
122	298.297967	73.6684124	-451.199304	-451.199304	89869.6962	9468786.98	9999260.39	8130253.08	119049036.0
124	294.829347	62.5918258	-466.639726	-466.639726	200699.48	1113518320.0	235919.727	53250322.1	11132759.0
126	295.810766	65.3366067	-472.241133	-472.241133	273272924.0	1211554310.0	1166511890.0	28333.5633	9449.21607
128	299.284211	57.0192592	-428.001596	-428.001596	100658.223	3655.94085	45188.3516	7123.20822	10606.4852
130	304.588313	63.0029868	-487.790434	6822.95355	22849.0255	13275.8384	39742.3958	-334.200438	1032.5898
132	303.010331	61.889986	-486.479083	-486.479083	1778.05933	25384719.9	22948898.4	297837.644	50834496.5
134	300.868625	57.6507466	-471.885744	-195.141085	50675.0801	818664500.0	9466829840.0	-318.295748	1761128.25
136	295.048163	82.0214917	-459.360229	79972.0739	605.354546	-595.360229	35271.3504	-94.5327075	1092.84694
138	295.415541	70.457645	-500.560421	922.821984	-366.420422	92695.5824	210.5657	-62.8875162	5725.14537
140	297.932996	59.7030232	-461.423104	-461.423104	58186604.3	2369869.81	31918394700000.0	382566.614	9745044.75
142	298.047092	61.1264666	-459.433311	475369.793	81252.1807	856716.005	2759189240.0	2449.52554	-567.453307
144	300.989697	53.0953758	-454.088302	-454.088302	771206.723	1139506.36	444053284.0	162361.854	3281831.85
146	298.917549	67.6656871	-465.188468	-465.188468	9748.97426	517495.456	34918.6282	140293.249	2245300.57
148	297.346656	56.4084819	-504.86471	-504.86471	46231455300.0	1976266330.0	48095011.4	1772.32194	1937578.44
150	298.972133	60.8578714	-436.055645	-436.055645	93236789700.0	278401103.0	72544.2776	3735.10108	23552.0592
152	294.488041	63.5374865	-409.062335	-409.062335	6180840.95	68381.8484	507169057.0	1249.28833	31999.9021
154	295.675059	96.3600405	-460.181094	1223.94143	4175709.91	148924.856	499251586.0	3183584.98	-568.201091
156	295.4584	64.9906036	-449.326214	-449.326214	532734.902	53334.766	1477.6405	836.515384	2596.92017
158	297.229513	39.8515349	-465.672732	-465.672732	1689.01309	5216757.56	6383596.11	51297.451	9979691.36
160	301.01256	70.5158301	-442.765877	-442.765877	380168.229	11013576.6	712665.698	220628052.0	62166706.9
162	295.065871	84.8557803	-486.163067	5934.75762	15971.3337	3384.96281	1471644.44	1421.45755	-594.183064
164	301.571986	50.2594644	-452.543005	-452.543005	37860.5417	799028.888	59392.9914	8076.07573	332802.569
166	298.332001	64.681193	-449.189262	30596.3654	8152.68183	17919.7493	10728.711	-295.599265	15081.9929
168	299.862609	54.6162361	-419.712427	-419.712427	250750.475	282252366.0	563.97785	5989.53394	581315736.0
170	299.554544	43.9153427	-448.68235	-448.68235	1816623.39	871871513.0	14902293.9	2252786.09	196811143.0
172	300.713239	53.6265779	-479.866165	-479.866165	8630489.55	270878544000000.0	106658222.0	18957.3836	2774746780000.0
174	300.890914	80.7420584	-429.108643	9187.54669	112.809077	1038577.74	5804.25002	-275.518646	33647.8239
176	302.129059	66.0460678	-455.384554	3311.04216	125392.812	-591.384554	3000563.55	4007.99514	2075333.21
178	300.042156	78.459685	-493.326128	13072.4676	53767.6733	55419.6514	530496908.0	704.630593	-601.346125
180	298.784449	56.9257784	-446.960419	-446.960419	2775.12846	6903.88427	188152.941	16822.8641	2922.01959
182	299.523325	67.4651135	-490.994294	4652410300.0	-356.854294	6505742360000000.0	47737090.8	7269.83188	21368710.0
184	299.206669	87.4454924	-471.493092	-471.493092	10832433400.0	3619686.54	34921209.3	844455467.0	9996641.24
186	299.660009	60.1383116	-482.187441	3916.17387	-348.047441	1238570.33	4381160.51	-61.2137073	2147.83557
188	296.314485	71.2014869	-486.706367	-486.706367	635.218917	20952505.3	62141247.8	11501.0113	6319.45778
190	292.918323	76.4119259	-503.767689	275574790.0	502.228169	658851.907	404743.909	-142.568476	-611.787686
192	294.675263	68.2548004	-452.473382	-452.473382	18521.186	6949600.98	35406.7321	2841774.26	12811.2532
194	300.68574	71.279095	-434.833118	1949.74992	7137.04974	800841750.0	565296.639	1896.72489	-542.853114
196	298.501894	73.2096415	-524.480813	-524.480813	2176075.61	95748.627	1233980.95	2538.90458	1496855210000.0
198	304.364607	81.9280786	-460.047129	-217.174594	1254452.17	6191112.6	25671979.6	3.47411353	-568.067125
200	295.892327	61.8650673	-473.304304	241.156254	-339.164305	2590978070.0	142577.993	15151.8494	68052.8712
202	295.64233	82.0950363	-451.755762	8794.22662	-317.615762	4063.83735	16639302200000.0	229.450197	1772003.91
204	301.618277	64.6329593	-434.840687	794.490898	108.678506	-570.840687	30550.2745	271.97963	-123.774347
206	302.424896	71.7411084	-458.497336	8634.89398	57584.3538	51378.3916	7881070260.0	411.147865	-566.517332
208	300.353371	69.1574072	-505.201439	59702.3742	-371.06144	538633.266	14398.908	-23.8253253	172081.085
210	296.558381	45.9863967	-459.328845	-459.328845	9405.99752	781213.689	867276.905	20083772.1	36818.7672
212	297.934629	92.8019157	-493.299548	8048.55041	1848.28709	17175.2833	10184470.0	3077.94263	-601.319544
214	297.21004	63.8193871	-469.006728	243060.103	165051.841	2889.83959	37585.9131	2023.8119	-577.026724
216	299.616564	51.8687083	-473.987373	-473.987373	3152.39439	11249662.3	709652.557	19208.8131	18820.9996
218	295.97163	61.1442075	-420.26997	-420.26997	91055.7632	17262.0188	2579472.02	19277.4873	1179335.26
220	299.497386	64.1023675	-448.0772	-448.0772	3513651.64	347650110000.0	1822092.57	1098538370.0	427411890.0
222	300.531741	54.846423	-438.095335	-438.095335	128261.825	5312465.55	6116118.33	6585091.05	188332.334
224	295.862837	49.6583037	-477.294395	-477.294395	43446.3809	29157663.6	191879755.0	550905278.0	36321446000.0
226	301.156149	54.9471144	-453.617909	-453.617909	710403986.0	709055.739	113196484.0	26131.6421	978326.07
228	300.150377	65.0207837	-488.437664	-488.437664	62135.7601	15394.371	94750.2464	8039531.95	281500122000.0
230	298.719282	55.9276118	-457.795723	-457.795723	58193.5622	2176055.42	1633073.1	1548104.6	5122058.77
232	301.579287	63.5314796	-433.886523	-433.886523	854567.509	297865513.0	617997.298	4466995510.0	117080.449
234	293.317934	51.6870203	-463.029574	-463.029574	287322.149	332569183.0	498576.926	32792.9289	81527.5291
236	300.858298	60.601977	-482.649244	25103912.4	-348.509245	89894445.5	33359.9855	26419.4408	25443.6498
238	301.656218	52.8232135	-488.446129	-488.446129	54460121800.0	11441739.3	167595.894	631037.805	30467.3144
240	294.077532	50.5641149	-423.756568	-423.756568	101141.244	356121236.0	17809488.5	115782.527	57973.4729
242	299.327106	53.4459203	-498.9727	4471.31017	13632.6583	-634.9727	5283.87944	9.29128777	255.594469
244	297.893461	64.0383168	-499.111218	1449.98879	-364.971219	51073.7619	746327694000000.0	26348.6253	23463.7909
246	300.494077	69.2197849	-488.191317	-488.191317	2198649.89	2495952.33	91003.3114	14037.614	58870215.8
248	296.743444	52.996164	-425.183413	-425.183413	183380518.0	608546.289	670770656000.0	55198.8614	380591.46
250	296.196537	57.9331107	-442.883684	-442.883684	50376026.6	20246146.0	251317552.0	28161120.6	2678593.18
252	304.995486	88.7911173	-464.713685	5550.89203	829088.787	6208975.49	5774.10122	-311.123689	623244633.0
254	296.110377	58.8751331	-506.348627	-177.254159	-372.208628	123259.643	182955.845	177.658368	727889.07
256	295.279161	71.8956873	-432.979456	-432.979456	8084019.94	1342107090.0	850055.368	3574492.09	804869111.0
258	301.842714	55.3403532	-463.113332	2769.34752	-328.973332	40003526.4	486.304273	532.659229	6635720.82
260	304.013807	90.8002273	-459.903177	-459.903177	47363583600.0	125612.576	445417594.0	8485877.66	146306735.0
262	299.40163	55.6781251	-486.307938	-486.307938	169580.154	68749.7703	111331076.0	10066.0374	41206.4218
264	297.7254	76.2027149	-498.444931	29532204.9	-364.304932	14421.2965	118626.109	70.1566677	5040481.8
266	296.885444	75.6336934	-496.779507	-496.779507	171827.719	2240210.84	5379.6529	3491.85989	15294.3459
268	299.906194	60.7163362	-484.019811	-484.019811	8846.09837	123848.189	1945929.51	21356.2432	1886.77211
270	297.140876	49.8042918	-502.823522	9241293.38	8717.58784	818003.692	193987.229	-349.233525	16217.6611
272	296.150654	56.3700483	-501.428659	76637.0157	1506.13813	795641.147	299354.162	-347.838662	8771.40647
274	299.800423	69.1017083	-462.88956	19139596.4	5596.92596	58486218.6	335928.414	-309.299564	605.615332
276	294.185065	64.5696421	-490.157914	-490.157914	13527.1939	59619.3376	1236878100.0	1812069.55	2178382.28
278	298.662358	78.4408203	-513.378433	104911.408	14783.3514	87138.9365	12223988900.0	1948496.95	-621.39843
280	300.055187	55.1288553	-491.526486	348433857000.0	747950054000000.0	3032243.72	2525198.71	-337.93649	1101548.55
282	303.969188	79.0267887	-451.128306	5833.09486	5661.57874	32843401.1	71892844.8	173947.968	-559.148302
284	302.109792	60.3970104	-479.675897	-479.675897	239784937.0	2295820330000.0	54619.9221	2557.02766	1068317.42
286	293.073125	67.105561	-439.009823	80121094.6	-304.869823	2443787610.0	956267.848	1641.09393	62795.7277
288	305.635489	55.2101189	-497.554808	4697.05707	1006.28957	479975034000.0	60367.4516	-343.964811	163102.877
290	294.685081	66.0545807	-435.057845	28686.7486	10078.5127	12023956.7	16488.9019	-281.467849	10453.7556
292	293.934281	57.4423067	-522.711343	-61.1970326	3.27938444	37369.47	17480.9012	-369.121347	3385.20257
294	299.817757	50.5004329	-519.519628	11940.5403	7175.05381	429590941000.0	9455.2124	-365.929631	2236.03393
296	296.788547	74.4681638	-466.604242	-466.604242	297351.724	60839.7684	51534.0793	2024.88021	1794162.9
298	305.887134	54.17444	-482.234406	-482.234406	5488.9638	19388.0534	10785617.1	17848.3938	60977.2034
