time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6
0	293.73954	0	-499.054695	-499.054695	1431146.14	193681.527	48522.9327	393.316064	113576.15
2	298.323091	0	-453.657326	-231.653392	17659.1747	392476.113	394783.91	-310.697319	11115.0831
4	301.154059	0	-445.448702	-445.448702	11767.6595	5554485740.0	5339.93206	147.450019	3097.85344
6	295.826753	0	-435.233985	461764633.0	-313.283988	2359.72293	1591.29216	165.971659	11274.2334
8	298.637716	0	-424.318191	16408.7007	7236.18489	303476814.0	698693.094	-281.358184	9572.20778
10	301.748951	0	-452.070424	18519009.3	9997.20277	96.8665728	227452.352	-309.110418	48.7878365
12	298.581565	0	-455.121961	11624.6222	121669.735	-592.041959	633.483543	-237.615484	-386.710474
14	301.480784	0	-428.918116	-428.918116	81969.496	201997.048	340776.816	-121.274145	165280.932
16	302.005072	0	-407.037156	-407.037156	27865.0513	52254955.3	12141.9248	617.655357	4524.66848
18	301.794991	0	-457.000968	336.218642	-335.050971	164028.198	9290.02911	143.813458	-332.911063
20	294.364705	0	-474.236896	-474.236896	25676.5662	74290.1722	210420116.0	33507630.0	26428.2649
22	298.08712	0	-405.442193	-405.442193	1254086.81	11735690.3	254184.409	1525.64739	975.977771
24	295.339633	0	-430.093833	471.662899	-126.554876	1996383.9	1671.65239	-287.133826	-182.462612
26	292.325227	0	-448.166587	2479.29256	101830.043	-297.013491	5505.3143	-161.570879	-567.916587
28	295.467665	0	-423.565336	-423.565336	492848.538	25859.3724	115552.527	4103.66303	6972049640.0
30	293.600268	0	-434.522411	-434.522411	78619.746	1157498.97	666104.979	3526.1996	147890.0
32	299.018596	0	-430.89601	-227.695738	182964.081	13563.3983	-196.816008	-218.03807	33857.6436
34	295.003258	0	-481.563064	3477.89893	21872.0157	43224143.1	46091.2923	532.906561	-601.313064
36	298.317544	0	-467.156254	5902.65486	650.835188	-33.8008842	27368.1693	-185.322497	-586.906255
38	303.087246	0	-427.03887	-345.910546	2822.67133	-563.958868	195561.884	-233.116774	-450.657504
40	294.983744	0	-484.807739	9268.11047	9966.1722	697795.419	692607.727	-341.847732	1515.62323
42	297.169146	0	-465.490215	5758.14155	1475.6561	554598.825	-231.410213	-90.9627811	2779.72619
44	296.236323	0	-426.593558	-426.593558	4768.6988	63837.942	3480.4424	1382.9398	1322.28819
46	301.128559	0	-454.136724	9070.28951	-27.8922885	66278532.2	85784328.9	-311.176717	89035.3607
48	302.293539	0	-527.77121	103593784000.0	23760.3884	210.152861	-293.691208	558.6553	-55.1920119
50	297.1144	0	-452.706835	1545130.28	3881.25693	70765.1937	20647510400.0	-309.746828	216.245419
52	296.104899	0	-418.430225	4840055.53	-90.8871244	67442665.4	1915.41974	-275.470218	447037.445
54	300.391241	0	-449.267797	-36.3747047	60789.8683	332.333791	44594.3985	-306.30779	-475.420436
56	299.061867	0	-417.966117	22585.2582	51016.2046	679809.551	340473.787	93634.2033	-537.716117
58	295.321494	0	-434.265797	1053.71399	1582.06739	216497.806	3774.22341	2548.88096	-554.015797
60	297.994171	0	-485.363225	11262.3006	390.513961	-622.283223	3508.28892	12295.9264	-386.564644
62	302.462975	0	-441.434658	534.736502	2989.8375	-578.354656	5331490.3	320.774956	-257.087903
64	301.435706	0	-465.73884	1616.36949	-343.788843	388597347.0	49534.7712	654.726516	5325.52667
66	293.890059	0	-418.659222	-418.659222	5719.44699	8641307.82	15179.3703	263.250529	5446.51387
68	294.154367	0	-461.529882	6439.44992	645.736205	-598.44988	26927819.6	312.313069	1966.39809
70	293.669057	0	-481.001925	6536.35747	18264.6765	4852.21753	-246.921923	332.499594	-130.890404
72	298.045509	0	-435.865493	1232.84145	24.1390957	11726.4734	776.234621	40672.2291	-555.615493
