time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6
0	316.560832	69.2758793	-566.759904	-566.759904	918086.958	235128.744	38222.1786	16196.5685	18208.9044
2	304.115962	66.3544042	-567.58586	334524.603	111196894.0	44304639000.0	-337.955855	-57.0313374	1595.79518
4	295.502062	86.1005262	-499.304264	-499.304264	2181007.4	1581582.49	411312.0	3897.15628	262173622.0
6	298.931453	91.7414978	-540.513809	-540.513809	69389.963	1774277460.0	5629.66345	238.879972	4779129.54
8	300.510171	53.0939679	-505.851135	-505.851135	4938252.17	2339345.21	2076725.98	1261.73191	20231.5901
10	296.763033	68.7166313	-535.966103	-535.966103	615.776713	3234.33	457806.49	147251.042	8065946.38
12	296.255862	73.8221793	-538.942542	-538.942542	178205.89	174520.411	73935.5348	724.841469	9958.71719
14	290.01104	73.9283042	-528.410816	-528.410816	95065.3192	13450140.4	1015720690.0	8029.94205	214387.952
16	294.95553	75.2842033	-567.485147	-273.09989	24950423.2	30608.764	-337.855142	-30.9699002	55614.0767
18	300.331477	74.1780682	-555.153051	-138.178732	296.351955	1250463.67	-325.523046	473.471698	3694.51442
20	300.219198	73.327226	-536.954284	-536.954284	3255.83305	210192152000.0	60689262.1	11874.7353	29020.8211
22	294.796975	98.9209942	-534.055434	2016.65738	13783.0726	2440738.29	4199795990.0	-148.273611	-646.155432
24	296.255203	70.8291421	-543.106212	-543.106212	3229220.73	101794.773	281161.023	540.693917	126636.923
26	300.126541	69.8048765	-538.499313	-538.499313	4835.31719	95708.1321	187905.658	50.7817974	10597.6015
28	295.313117	73.3843644	-525.723326	-525.723326	24259686600.0	1439620220.0	40478.3842	2103.54901	312157.521
30	298.077325	68.9777339	-537.065811	-537.065811	41260975.4	2199984.35	21133.4057	1323.88789	48889.145
32	299.047869	68.8112169	-523.744939	-523.744939	32020.4118	73561.5161	60767.1379	1870.60103	3030.33154
34	295.641149	75.1446311	-510.639616	-510.639616	91438485500.0	90648.6812	19703.3278	31851.6358	10607.3936
36	298.229504	56.0418224	-511.122033	-511.122033	150227.056	363390074000.0	1166012.66	217458.484	89983.013
38	297.646425	63.4423842	-546.182301	-546.182301	7527.07443	459924193.0	6482786.3	1850.65239	69824692.7
40	296.412252	69.8209632	-535.146382	-535.146382	40680.5315	82889.9057	231976206000.0	772712.793	12694490.0
42	297.684713	68.3180263	-549.59355	-549.59355	1378244.71	2137647.72	46124.5442	11171.5947	10801.7363
44	300.376454	64.689861	-544.13747	-33.4948163	1712.36838	44208349000000.0	-314.507465	-159.264649	3734281.16
46	299.479766	55.4173908	-520.982365	-520.982365	67455887.4	393289.03	4119388.64	13254.5832	99412.2633
48	298.860143	66.3495081	-520.461524	-520.461524	1234.12102	1337198.67	47325.4796	3498.69546	16642731.8
50	298.360089	63.6282895	-537.770338	-537.770338	3876643.08	443786.633	13953891.6	1618.81694	9633875630.0
52	298.808084	68.9139967	-515.434318	-515.434318	224451.792	32266.1836	5706969.68	185869260.0	10423.6704
54	299.616672	86.657485	-503.07666	-503.07666	22778.5869	124330809.0	436460.048	4244563.43	18294902100.0
56	301.306858	77.2720911	-530.669335	-530.669335	501964.987	1031787.55	717635.026	13753.1875	40183.4665
58	297.150807	68.3223073	-520.620252	-520.620252	422445.991	10387316.1	563401982.0	4664.37898	99613229.9
60	291.689675	41.8671476	-494.746116	-494.746116	392587.813	33661445.6	8451.69485	2046.59368	17688537.2
62	298.653543	109.817263	-506.570918	-506.570918	12176.8238	2130900.46	208982.347	3296.62701	3355071.7
64	295.427945	60.67206	-554.06075	-554.06075	27743.9317	2400697.96	83509.2639	6791.76709	726.304309
