time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7
0	314.904362	0	-2095.70587	-2095.70587	8871.45174	12472.0024	-715.534776	49813.0084	564053526.0	2297079.56
2	294.802213	0	-1996.1076	14318.7331	796.274037	-1419.43762	12298.7508	88646078.5	-1996.9276	642893182.0
4	297.756965	0	-2012.51882	1301196440.0	-2114.62882	49705.164	27684.3214	6221.28607	21832.3502	305656.761
6	298.241711	0	-2020.44035	11172.267	73348.0418	39377.9765	228012.573	44908.2076	12372195.4	-1894.73036
8	300.324507	0	-2073.46101	13589275900.0	15626.651	-1475.47446	41225122.4	90875.4766	91821920.2	-1947.75102
10	298.135348	0	-2005.79415	406988.628	77.2326512	17695.7	55103697.1	-2257.51415	315173304.0	2367.40332
12	299.544026	0	-2033.53928	159249.641	-1631.85676	15435.7131	81437.8891	28028.8393	2722576.29	-1907.82928
14	297.161738	0	-2027.08625	49506.5209	4948.0989	22788.5641	22789259.9	233651031.0	14582923600.0	-1901.37625
16	301.152192	0	-1902.9913	5491.77552	-2005.1013	-1223.14867	12603.4958	33999.5359	16238.07	-396.663066
18	297.274547	0	-1951.90066	82323.465	482501.335	5322882.56	54925.962	43305.8203	6458281820.0	-1826.19066
20	298.524693	0	-1966.30057	22422.1786	-1066.20874	83714.0276	714152.361	-2218.02057	1187703.99	338373.886
22	295.719797	0	-2036.12392	16373192.8	-1410.97608	-158.489879	312996436000.0	112447.103	100773.766	-1910.41392
24	295.093722	0	-1977.58786	23229.992	-1907.9711	-1503.91131	487363.775	-2229.30786	101481316000.0	5597070.96
26	299.095046	0	-1997.19544	-1173.94986	-1044.77076	-1174.82948	327467963.0	-2248.91544	2303948970.0	79434.6035
28	296.412448	0	-1923.75819	12584.4364	-2025.86819	34435.0623	64768.4377	-1729.89105	293381870.0	130532.319
30	299.122069	0	-1986.64956	-1986.64956	3124035.77	-835.556278	1903601520.0	6426.89486	755168.222	-682.923911
32	303.102102	0	-2007.21681	273978.125	39658.3962	64222.8703	3058987.02	-2258.93681	27141.3258	6454.24353
34	298.324439	0	-2006.83208	857.949713	10552.21	3812.90472	42084.5962	-2258.55208	141340953000.0	8231209.98
36	297.775851	0	-1975.10591	328077.507	-2077.21591	834.535634	7762.76979	-2017.72649	213389247.0	78635.6402
38	298.192218	0	-1995.68469	3231022.36	3375.37708	5361.50253	131237925.0	-2247.4047	3377116.57	19753662.2
40	297.23492	0	-1977.54623	2741083360000.0	13348.1516	8200.42095	49167799.6	10784385200.0	291702.171	-1851.83623
42	296.27325	0	-2033.25377	1304679.53	1310994.67	28745.3131	352413.891	3459586.83	14081201.8	-1907.54377
44	301.93615	0	-1884.95888	-1884.95888	3002151.42	66153003.9	20142110.1	7537098.05	23367642.2	1921564.88
46	296.232888	0	-2016.74656	1539185.54	11343.6286	8097.53813	2031400.57	30036.5108	79958.6931	-1891.03656
48	298.267014	0	-2025.28853	1155517.93	-2127.39853	17218431.7	14220399.5	1002.04682	13140.0986	36955.8138
50	298.132624	0	-1995.54364	20025.2592	2749.3539	-840.562162	1852270.5	-2247.26364	5275161.2	59353053.4
52	298.913709	0	-2012.66797	51553.4007	128.584346	2558.04713	159020701.0	58532.7574	2922.21837	-1886.95797
54	296.111143	0	-1936.43608	267348.463	8468.13061	52876.6871	65122.5608	-2188.15609	16373578.8	25191.5813
56	296.907835	0	-2072.48299	628.714629	1387856.11	914383.93	344992241.0	6578653.27	157552965000.0	-1946.77299
58	298.745524	0	-2073.71724	113144.045	-965.123796	6357.89853	1780038410.0	144648811000.0	5275802.42	-1948.00724
60	299.385173	0	-1973.91692	1452739.36	1042539.28	3255.90207	14302762.0	-2225.63692	187863.511	5615.41395
62	302.488696	0	-2031.50493	10514272.1	46964088.5	-2057.15493	238950.042	2373066.87	683676079.0	489913.628
64	296.752226	0	-2060.20409	9708478.05	5493.02128	12510.5814	215566087.0	216506342.0	423918.332	-1934.4941
66	305.228	0	-1949.51389	2127184.74	736238.118	-1975.16389	264311.41	6679188.6	27843608200.0	1079966.91
68	301.587803	0	-1976.02184	38261.9448	-2078.13184	33828.5825	2120.71621	2239.93936	96942301.1	100166668.0
70	298.967099	0	-1929.06825	-1929.06825	32314.1817	-1491.66855	6380479.42	23562.9181	9354219370.0	-1114.96723
72	287.920595	0	-1999.3732	997015.898	15448.7182	-2025.0232	7883453.91	155744.504	2308692620.0	33325331.5
74	292.514774	0	-1936.7127	21077.0924	1493.13069	568.99032	17378141.7	-2188.4327	219076980000.0	2398.16207
76	299.733083	0	-1957.9527	7843.88968	7241.71584	-1983.6027	154462.843	7464753.64	291493.073	85629702.3
78	298.279054	0	-2029.57841	3844724.65	836693.225	464032.035	63376304.1	-2281.29841	729529.03	193624.924
80	297.825114	0	-2046.32623	2592.95222	387320.98	5855.5026	-1064.46127	1104051.95	-2047.14623	13935.0901
82	294.803229	0	-2047.37718	329509366000000.0	15896.342	27945.6552	504889.941	1445921880.0	261616086.0	-1921.66718
84	295.213848	0	-1913.99962	2385847.22	41500.4061	2839.52615	130281.485	17612.1003	87898.9858	-1788.28962
86	297.85247	0	-2062.55772	1549170.03	-2164.66772	3463171.89	7580404.06	-1416.90744	39845396.5	83968.4529
88	296.715857	0	-2053.216	1117710930.0	498.537979	1510.35898	498490366000.0	204994306000000.0	2331455.88	-1927.506
90	297.56064	0	-2008.77841	1526.65938	312418695.0	34126.7069	1244719210.0	-2260.49841	33336.4633	428269.231
92	295.189841	0	-2032.23965	247562436.0	-1291.41478	10905.0323	389728.853	1115078080.0	36260109600.0	-1906.52965
94	301.829842	0	-2014.79739	1183681950.0	3818.11652	1397368.73	58465942.4	6589.95624	1085339.25	-1889.08739
96	298.442472	0	-1911.38607	124137.79	4651.05409	960791.979	12590.495	29936.5819	10480026.6	-1785.67607
98	300.337005	0	-1922.14924	12786007.2	78819.4505	191192.381	68.3751072	1404324.85	460667175.0	-1796.43924
100	298.280212	0	-2040.33942	65286851.7	-2142.44942	119236518.0	389808.386	174.759699	4230483190.0	14337841900.0
102	301.079547	0	-1959.68931	-1959.68931	40385.1423	-1058.45345	17720181.3	6536.56586	2647435.71	1402.31007
104	301.574528	0	-1972.05559	-1972.05559	-815.330622	-810.825495	48031201900.0	14604.2045	21227.1612	16830.8985
106	294.21727	0	-1967.06325	67404.9732	11798.4529	69666.2326	733625198.0	-2218.78325	181819183000.0	20478.3642
108	295.971167	0	-1937.08066	611355973.0	-1754.44308	81468.3615	4568773320.0	-2188.80066	456240745.0	289622.933
110	293.522513	0	-1987.79663	-1987.79663	29358.2146	12280.3438	14060730600.0	9651.30712	47386196.9	87126.5366
112	295.065494	0	-2014.59045	247292.721	21589.5893	-1921.80859	7704466.99	-2266.31045	17432163.7	308192.59
114	295.253337	0	-1956.36563	94648.7973	68715.2495	-1224.42015	28996833300.0	-2208.08563	338877637.0	19602.9359
116	295.988774	0	-2027.49782	2595603360000.0	2118023.83	628.05035	1647136.68	5314178.99	66619.381	-1901.78783
118	299.149646	0	-2038.19987	2042518900.0	-2140.30987	-1747.43336	81074.223	3566545.57	56295.0043	261507032.0
120	303.956889	0	-1940.40961	-364.635533	9382.78746	356.00749	1807.6763	-2192.12961	99843023300.0	7887.35106
122	294.117099	0	-2019.28313	9441.30528	10170.6174	-1462.86406	5258374.25	3872.30683	200739037000.0	-1893.57313
124	292.374622	0	-2010.47015	20527396.1	30703.3586	154495.584	35334891.6	1118765.75	16236659.8	-1884.76015
126	298.520862	0	-2021.36111	-2021.36111	-1463.60482	-1933.29414	84014626.4	3882.94532	4900622.98	5639.6325
128	301.997721	0	-1979.43192	9920.13763	4427304.2	137747.643	100148272.0	-2231.15192	54389.0084	58306.1652
130	303.604466	0	-1998.07472	112046.934	6841061.27	1640275.72	20322502.8	581150597.0	-1998.89472	702598.015
132	292.365521	0	-2042.81623	-898.916963	6235.18738	-1342.05475	11752.2493	1036433.45	-2043.63623	3020.8698
134	296.490215	0	-1985.78739	2808686.33	386994.364	2971.63915	202805.195	278176.466	30129.9875	-1860.07739
136	300.310451	0	-1945.84764	-1945.84764	12735.9422	744.334721	127404392.0	4674.42541	119214.643	144780.94
138	300.136179	0	-1954.49444	7149516.71	18625.9869	521904861.0	1126660.98	30970.0251	2937052.93	-1828.78444
140	297.266515	0	-1895.54789	167368.055	89191.2967	12196324.3	369772397.0	-2147.26789	60717.7057	77122.8957
142	300.830244	0	-1988.6707	-1988.6707	199808.932	646417.178	4080820.85	12377974400.0	70105.6366	298524.043
144	297.614298	0	-1997.78237	1070.74235	3086334.06	3053.13521	997029.443	6674471.5	-1998.60237	14304.7818
