time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7
0	315.015786	0	-2054.56665	-2054.56665	-1841.16873	223724.688	12868.6812	335882.415	246377.466	43116.9173
2	298.130719	0	-1902.03028	51185.629	-1990.17027	304620885.0	63744.8529	1405245.08	1205544.6	117312.276
4	294.204505	0	-2018.21884	214139374.0	14635778200.0	4303.82917	-1804.27884	36620730000.0	2259.13674	-333.767486
6	297.218281	0	-1976.63798	98613.2553	46045745.8	-1906.83797	1906069.5	54474491.2	77114449000.0	43354249200000.0
8	301.795165	0	-2007.47194	1096237.53	213163.864	273683.378	-1793.53193	-1284.6132	6300.41046	19662.5957
10	297.399335	0	-2057.11849	1353996.32	53436.6528	-1987.31849	62183190.4	194869969.0	524827668.0	2155061.24
12	299.11837	0	-2028.24031	202708.862	290488.802	1755132.92	97698.1686	-1390.77796	13545919.1	-1882.81032
14	299.689418	0	-2020.55593	1580089.95	871272.156	-1950.75593	283981.51	133621233000.0	9050362440000.0	60600.0309
16	295.75973	0	-2129.41789	42781443.6	-746.512685	95683.9143	108503.949	10229.9529	134033.725	-1983.9879
18	303.501221	0	-1961.05452	298791.23	9318873820.0	-1891.25452	322591090.0	97716882.2	7158917510000.0	114903421.0
20	301.69083	0	-1964.09489	33774.2847	971719.077	30272.7261	-1750.15489	373286.681	68230.96	275536950.0
22	299.778534	0	-1992.03276	36785.9045	175781.697	-1922.23276	11129592.9	19423048.2	73835923400.0	55995261500.0
24	293.851556	0	-2048.26825	184006.926	78136.2277	78636.8336	1995216.63	684496.689	47973122.8	-1902.83826
26	303.519973	0	-2050.92426	7763657.93	457.427503	-940.554024	-1836.98426	267972.502	335819157000.0	10676.7534
28	295.1395	0	-2010.48557	60138.1396	129305.589	-1940.68557	39202375800.0	5344810260.0	532390316000000.0	975970602.0
30	294.76115	0	-2010.55293	11428252.9	4164729.21	-1940.75293	1283167520.0	214348587.0	700977404.0	22051475500.0
32	301.716873	0	-1977.77637	26292.5576	211827316.0	-1907.97637	653806.57	14921976400.0	106462924000.0	86413.4618
34	295.806326	0	-1969.34524	4061.02859	9144.36704	-1899.54524	2007159.62	10675612.9	35459544.8	17323.3115
36	298.21342	0	-1979.63822	-1979.63822	163905.964	24399.494	1017303.06	9806.453	85342034.8	11426.8193
38	301.154044	0	-1967.94251	3112.76582	1007490670.0	-1898.14251	48120620.0	16114439.8	61078039.6	7351449.69
40	302.905562	0	-1981.07837	7800.74672	6988918.92	-1584.79788	-1767.13837	190316898.0	-1009.0889	22950.1877
42	292.326144	0	-1975.01025	26517.2985	2586101.49	-1905.21025	9216827.77	418168.215	2765939120.0	48232788300.0
44	297.336511	0	-2015.15028	13407.8455	236870674000.0	-1945.35028	866042846.0	16567441700.0	48279447.5	15680527.3
46	303.336848	0	-1975.34489	187282.999	1311.21567	436114.551	-1761.40489	7616724.42	661438.957	257300.22
48	294.059547	0	-2034.53664	115974.973	370364.271	-1964.73664	3608595.35	632939496000.0	45813397.8	1877312.19
50	299.158243	0	-2019.30545	30030.9544	2781473.54	-1949.50545	4444755.21	26896735.1	281488.963	29713.1841
52	299.890842	0	-1955.43225	1896.44329	10107.4371	-1885.63225	16846340.3	1091178020.0	265648.467	22502218.4
54	295.891136	0	-1988.24646	437284672.0	10448.899	24412.8183	4598.24588	29445.8269	10499.4358	-1842.81646
56	300.149817	0	-1966.51268	114482.615	42178414.2	-1896.71268	10199564.5	104685950.0	172501114000000.0	19823.446
58	301.506525	0	-1996.43692	162090.256	10466536.4	-1926.63692	60720416.7	54554.2308	277328510.0	116372432000.0
60	298.27835	0	-1981.34037	38186.2798	11864312.7	-1911.54036	12327.4377	3980654530.0	12654862800.0	126948.217
62	302.725183	0	-2012.38553	18974.5386	31392.9858	-1942.58552	1633686.83	46415477.2	3056606.37	19533997.9
64	299.97311	0	-1972.13621	6829.0085	-258.399362	22495299900.0	-1758.1962	63433153.1	1159083.08	95024189300.0
66	301.106928	0	-1969.00987	10543.7919	37498120.5	49684542800.0	-1755.06986	47370801.8	86613.0274	275321.713
68	301.45625	0	-1941.20911	82377395.2	117152.239	-1871.4091	15084681.2	263278219000.0	14009624.9	105210.341
70	297.723638	0	-2053.06265	14747436.9	26824.4239	31487.7587	-1839.12265	40927.5281	5508109.4	6650.79526
72	300.069325	0	-1954.46987	2788840.65	-1389.54462	7688.18705	-1740.52987	1929.84549	392129141.0	57830.315
