time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7
0	305.585457	0	-2006.87152	-2006.87152	-1738.00275	-1885.71068	3493.64485	-2023.06815	-614.269728	-875.994419
2	299.448891	0	-1897.74163	-1762.90412	15189.0985	10913.2118	-1803.72163	8812.4347	106209.208	-1191.34176
4	296.909833	0	-1900.20546	1874.1892	-1993.47546	49119.2406	131610.705	1501.19668	2545.85699	15562.5474
6	294.82147	0	-1889.65449	-1644.98767	-1982.92449	-1397.82395	8337.42395	2252.90891	4589.75631	3853.83978
8	296.993731	0	-1961.61029	-1494.47323	-1812.16348	-1775.47592	-1867.59029	-1702.11093	18693.1429	-1152.98784
10	296.858714	0	-1968.74917	3936019.62	-712.517259	-1510.92622	505976.514	-2213.15918	1170106.81	44707.0293
12	297.367576	0	-1890.39328	16852.796	-1486.21255	1313.85114	17047.4184	-2134.80328	1109439710.0	70515.4988
14	299.426799	0	-1881.03188	-1642.65845	-1974.30188	-1191.15942	1541.86404	5714.69409	-107.503778	6203.36378
16	305.61646	0	-1876.08085	-1592.20196	-1969.35085	-1615.66702	243085.713	15390.8886	13455.1056	1948.12128
18	296.459437	0	-1862.59476	-1862.59476	-1729.19875	-1581.61536	10907.3387	-1662.67767	414810.704	1848.22118
20	301.840515	0	-1917.78754	-1917.78754	-1788.21552	-1588.66119	129931.451	-1478.92542	4751.63158	383777.855
22	301.370522	0	-1886.31248	-1886.31248	425.894752	16284.6819	5251.04961	2403.4621	462639.577	1648.35514
24	295.903738	0	-1937.32247	9986.96819	-1877.08452	-1949.84247	238346942.0	121.422073	23634.0894	17929.13
26	299.992849	0	-1942.99628	-1942.99628	754.849233	48152.8061	17099.5702	-950.768475	5185.36263	44562.8482
28	301.396697	0	-1874.36054	-1874.36054	563.22321	-1159.62934	33998.774	-1578.79186	-1313.35222	2036.73515
30	297.85065	0	-1932.53648	-1932.53648	3971.99736	21657.5321	8507.82863	4092.61027	2703967.91	6268.48438
32	301.498689	0	-1905.84833	-1905.84833	-1029.39497	-1509.81863	28982.6973	-1111.05528	43329.85	3031.65602
34	296.228958	0	-1913.30101	38525.3727	-112.72591	-1925.82101	4100.8412	30.9641235	6260.1084	-823.029479
36	302.652833	0	-1919.45236	1175.98141	9743.51598	-1931.97236	761995.047	-608.629784	17140.5724	162461.023
38	299.807019	0	-1918.309	3717.16006	13602.8096	-1930.829	312381.215	2556574.87	13479282.4	456008730.0
40	294.278605	0	-1998.01202	-1241.09571	-1996.01133	-1833.61142	-682.701329	-1555.62132	-1987.97202	211466.59
42	295.161643	0	-1874.45669	89874.4214	-1714.00136	61005.5028	609208.274	-1316.90885	-1442.29971	-1738.2567
44	300.871297	0	-1799.54886	-1799.54886	-1624.58329	1150.34398	-740.697188	9654.71689	-460.816563	-1170.71565
46	299.006414	0	-1865.99342	-1289.91977	-1847.92361	-1878.51342	812482.955	-657.050647	565588.9	170522.656
48	299.29094	0	-1860.33826	39037.978	-1294.57092	-1872.85826	35810.1728	850094.747	3289603.01	-573.924943
50	298.388279	0	-1906.58244	-1906.58244	185110.582	1147412.1	665090.205	-939.447449	4312168.57	3507.90055
52	297.36972	0	-1965.3918	16928.7235	-2058.6618	-1816.97538	913648.549	175821.155	9577.04476	237084.541
54	301.109293	0	-1846.30801	-1846.30801	4399.94402	356807.26	121808.845	185228.064	145437.919	21597.4157
56	298.862079	0	-1924.18159	375173778.0	4956.3297	-1936.70159	163940548.0	16399.8095	28281346200.0	4956.48559
58	293.57816	0	-1919.25374	-1919.25374	30688.9831	3401.20992	134450.7	67.429639	79336.808	57802.48
60	299.828102	0	-1895.51457	3920.62298	-1592.53396	-1908.03458	5605013.32	148029.435	152785.027	127778.084
62	296.634996	0	-1947.60404	272666.634	8552.65748	-1960.12404	2477449.12	11250.6223	6969910.89	2408.38268
64	300.991981	0	-1954.84677	1064229.27	6066.18988	-1967.36677	16652321.2	7469009.13	2644919.83	-617.973951
66	299.477809	0	-1915.65847	23728.9708	-1539.98874	-1928.17847	7376123.2	699626.973	179184.903	-697.334774
68	299.40757	0	-1913.12394	23508.2204	-1030.40786	-1925.64394	223049.052	616.616189	1097639.7	-1032.02947
70	297.786471	0	-1889.44152	170426.172	17963.6363	-1901.96152	4072418.08	8775.75565	7615006.04	5819.61366
72	294.763638	0	-1956.95909	1817504.42	-915.616557	-1969.47909	105748.351	355505.418	20564.7042	-1202.55488
74	295.676993	0	-1942.08608	-1942.08608	-1796.44743	-1172.74638	928248333.0	49536.1258	1407.66016	-491.818111
76	298.441666	0	-1887.46376	80721.6933	2116.36566	-1899.98376	6389.77436	-849.834516	15521569.7	18869.5383
78	295.737394	0	-2005.35147	-2005.35147	-1886.50753	-1708.72198	14738324.7	616.405716	740580.211	39107.3131
80	297.064096	0	-1956.71738	70345.1649	41039.6635	586.352356	10724503800.0	6246.99506	83782.5792	-1820.51738
82	294.808727	0	-1921.85399	-1567.59052	-1717.00791	-1692.94893	7858.1725	2511.85423	-1911.81399	-958.297318
84	296.536064	0	-1847.04485	7963464.85	-1189.48038	-1859.56485	439986697.0	-784.591668	3481296.69	77605.9113
86	294.313141	0	-1918.92092	2061.46404	13719.4036	1112.81743	508167.606	16513.1209	37759.4688	-1782.72093
88	298.405176	0	-1989.17737	594.510267	-1097.19093	-2001.69737	5273574.52	32097.5976	957317.701	193621.118
90	299.395601	0	-1895.32648	20433.0055	-169.708298	-1907.84648	36561777100.0	10098.4634	457934.867	1379613340.0
92	301.831778	0	-1955.36483	787.511615	420540120.0	1078769.1	104442010.0	22786.0487	633431278.0	-1819.16484
94	299.470893	0	-1838.68874	7719.73243	112.880102	-1851.20874	3811162.96	20683.6503	2456567020.0	13656405.6
96	300.718051	0	-1955.321	113289.792	505.891935	-1584.21958	148235.865	10521.1466	5540967.62	-1819.121
98	299.413766	0	-1961.04357	4541.99932	5308.30242	1324.02935	3015771.36	-2205.45357	1578660.83	185604.28
100	296.844824	0	-1920.10588	18428.21	5231.81021	-1932.62588	5831553660.0	12556.9874	191826.222	2574876.16
102	296.871962	0	-1914.17463	-1274.05367	-1676.09243	-1505.61706	2668859020.0	-951.300717	7407033.64	-1777.97463
104	298.806858	0	-1894.16495	141.141643	-14.1491231	96222.1999	11552.9126	-2138.57496	21995997800.0	14598.3622
106	293.753769	0	-1916.81602	-806.852991	1307.96815	-393.34384	84.7787471	-2161.22602	999876597.0	1974193.16
108	301.390496	0	-1893.2168	45406.6132	7661.63796	4771.98986	180362.038	-2137.62681	6348.21629	6766.76891
110	300.114587	0	-1852.06742	86469.2835	378.519892	-1864.58742	58.1563751	59554.9513	63672.5921	-1287.66083
112	302.419084	0	-1981.74185	147618.203	11924.9033	-1994.26185	67510071200.0	61172.6155	10691.0652	-1397.711
114	297.718957	0	-1914.95791	-1914.95791	-1910.78297	5055.88341	7579.58492	-251.211778	35557206.1	4136.75705
116	297.64637	0	-1864.36707	-1864.36707	-1701.38639	1970.05034	-951.858049	-6.07358727	74394.9636	-1131.58693
118	300.588896	0	-1945.49614	1115643.69	634.17804	-1958.01614	205151748.0	21269.1692	819048888000.0	236066.401
120	297.054644	0	-1918.238	-1453.16643	-1621.40823	-1299.90639	117711664000.0	-1014.71168	-1908.198	-1320.5057
122	298.254079	0	-1942.68229	54070.7704	1591410.27	158649.573	-1848.6623	4381557.81	8211.06281	334640161.0
124	298.27643	0	-1857.37011	-1857.37011	-82.9744363	-1716.0802	263379.072	6171.64491	-560.769603	6118.06885
126	301.573839	0	-1927.29427	5075.48833	-1691.56028	-1939.81427	649442.914	3287.124	14815.4935	1560.63496
128	302.476597	0	-1986.82304	30570.8005	4569.18	26.8733506	-1892.80304	21567.4806	21272723.3	24190.1908
130	299.415959	0	-1920.56064	4056.60944	44784.1691	-1933.08064	23810.2261	57031859.5	442928011.0	9164293.67
132	298.605273	0	-1857.2623	28343.0915	3014.58765	-1869.7823	243282.187	40133.6571	27223601.6	15729.0541
134	293.891645	0	-1899.49082	77388.4503	17322.5116	-1912.01082	127414.91	79757.0884	151883.251	267194.684
136	289.714034	0	-1919.04957	-1919.04957	-1898.80242	-1664.78029	-1001.8836	-1817.69691	-1404.51273	-1545.95196
138	297.341083	0	-1904.33738	-1904.33738	-1732.1984	-1781.04293	1221091.52	-1455.82676	46764.5683	119.485358
140	298.802054	0	-1887.765	101088.932	2686.53582	-1900.285	2818599.95	30460.9957	55355.5278	-1343.29558
142	299.700998	0	-1880.53268	-1880.53268	-43.8868319	-1733.3725	1536.42055	-1620.87219	660.152407	-1353.08553
144	299.345906	0	-1918.90545	-935.797545	-1673.24457	-1478.87357	-1824.88546	17052.4562	1507414.71	-680.766339
146	296.836912	0	-2036.333	4498.44862	205.556671	998.393234	-1942.313	3658.7498	26249.2619	6937.10205
148	298.935514	0	-1956.14439	71034.8181	28502102.4	17797.0639	-1862.12439	19002577.8	1029629590.0	139800366.0
150	298.971459	0	-1983.65202	-1705.27771	-1729.16954	-1194.2536	-1889.63202	-1562.35613	43295343.9	-246.923262
152	303.156844	0	-1943.86981	989053.05	17559302.4	-1066.11892	-1849.84981	134452.56	150726.046	275939.714
154	300.615257	0	-1919.55967	3759.86513	13919.9539	760445.973	1350986.56	9948.43383	6239495.02	-1783.35967
156	297.277649	0	-1937.03457	17876.4754	134.913609	2541.24834	-1843.01457	5230.40727	59139.5781	648664.06
158	297.953972	0	-1943.36878	-213.051035	-1404.95054	-1685.16437	-1849.34879	-1589.60808	-1004.79625	-1166.69205
160	296.92853	0	-1935.17203	-1493.1881	-1909.76833	-1785.44853	40.1052061	-1942.46196	-1925.13203	-1270.01201
162	301.823242	0	-1912.81627	-1599.55071	-1289.62715	-1564.01684	991001.828	-1506.17646	-1902.77627	6606.72731
164	297.31366	0	-1969.86301	68831.4117	217118.333	5901.71413	-1875.84301	6738270180.0	77109.3498	-1576.08494
166	302.157585	0	-1881.39687	112216.928	16039.4291	38559.2556	-1787.37688	64825.243	163304.472	-1578.32738
168	296.954818	0	-1939.89988	103789483.0	-1451.46137	209.09333	7671.67331	737031.353	-1929.85988	-467.154323
170	300.235495	0	-1879.55862	-1141.54063	-1811.99554	-1690.95652	-742.240416	-1209.09503	-1869.51862	-1345.4996
172	299.497089	0	-1918.92525	639.317452	719.144882	10837.7657	-1824.90525	68783.8325	2958850.5	3787.36363
174	296.892298	0	-1872.22845	-1872.22845	-1281.39602	-460.310887	-192.684646	-1309.90285	-1285.96788	34.7232419
176	296.486148	0	-1949.65026	131298.759	39312.1066	-1962.17026	57554.4955	14782.1406	2433539.06	89672.3751
178	298.415143	0	-1913.50357	1001.82945	-1600.4398	-1673.58604	-1819.48357	71499.6245	90.0112452	-307.109229
180	301.118796	0	-1979.76343	-1547.05118	-1382.36961	272.379903	-1885.74344	-347.554112	421050.284	84342.4576
182	298.647219	0	-1838.71023	4168.41067	-1273.016	-1851.23023	5213.22245	69453.0926	40393.9509	1572.50193
184	298.00601	0	-1896.73502	137189.151	44878.1393	-1909.25502	156583452.0	3431.03148	2211760.18	273820.338
186	295.097931	0	-1907.90537	-1322.43682	3571.01375	-1920.42537	14873784.3	-1154.97024	29086.8272	-1274.78942
188	297.540408	0	-1914.74004	29995.1995	-1940.09376	-1927.26004	952721.307	-572.840736	613.408755	4548.051
190	295.230538	0	-1954.40019	24773.5221	10765.1741	2154.50809	-1860.38019	34677.2171	4011207260.0	34142246.2
192	296.833321	0	-1947.08722	44127.0184	15188.8183	8507.77841	170576.907	11782.6882	329815.617	-1810.88722
194	301.038189	0	-1955.43528	6698.14207	2274.43599	-1424.84679	-1861.41528	-1203.51768	509506.705	14903606.0
196	297.594477	0	-1939.09837	456056.959	114517.71	126.337639	-1845.07838	-492.101263	1507407.38	260288.404
198	298.20888	0	-1958.33971	4079.5092	-554.175763	-1970.85971	609.723454	-1585.85999	310635313.0	2602.2739
200	296.273603	0	-1907.28933	-1762.99933	-1545.7272	-1919.80933	25985912.0	5269.57562	15997.9482	34374.0563
202	300.157875	0	-1877.78178	-1173.89797	-1595.17899	-1306.03902	23721.5677	5127092.88	1480285.26	-1741.58178
204	294.551968	0	-1922.45689	73312.0636	18182.6691	1249955.28	-1828.43689	124277204.0	6350697.69	9728957.3
206	299.296886	0	-1897.03448	27962.5978	12953.3591	7179.77656	14652.6098	985.507212	32849960900.0	-1760.83449
208	296.360375	0	-1888.75769	163.060154	-1246.1761	-718.261282	-1550.41555	-1547.18298	470831.174	-1752.5577
210	301.870238	0	-1942.13335	115902.075	-2035.40335	1970.60089	33897.1393	55256.011	914165.968	44495.9442
212	294.907522	0	-1921.83495	3932978.53	-2015.10495	-1076.8963	48318.8697	79176.4085	130913770.0	2145.69545
214	295.88379	0	-1820.55984	-1820.55984	-1529.49566	-1524.83118	3104.88251	-771.115492	119667.166	288.442079
216	299.0064	0	-1845.52649	2558.63263	-1636.93914	-1607.33596	-631.18912	-1627.36938	-383.486468	-1709.32649
218	295.826901	0	-1897.19072	31847.5808	-139.851691	-834.124527	3859070750.0	9493.56717	10878.9972	-1760.99072
220	297.898581	0	-1917.26832	674611.504	-1211.75915	-1929.78832	604812.366	3743.88334	298347832.0	-1089.95594
222	298.34771	0	-1805.23412	120545.405	3825.41295	10829.8188	47557.6218	3340.00926	5751.51222	-1669.03413
224	292.261424	0	-1916.37658	6903.05559	-2009.64658	-1669.57745	-718.516628	-454.260744	-403.406338	-849.898932
226	295.607653	0	-1874.64997	2039.28783	5545.07506	-515.789201	557134824000.0	807.170727	851736.598	-1738.44997
228	297.560619	0	-1881.3013	30828.7462	801.963014	-800.365615	853898.019	21598.7887	18324.2932	-1745.10131
230	292.629429	0	-1983.7975	62618.8701	3032.92339	1670.4732	-1889.7775	12264780.9	713528.075	27392.5845
232	297.844793	0	-1898.8892	93831.7157	-537.72462	-1911.4092	376062.596	93941.7701	392344.752	197047.382
234	295.957402	0	-1999.85185	8115.61727	-1884.76176	-1844.20292	15348872.3	-2244.26186	180982612.0	1849889.61
236	301.231656	0	-1957.73644	9227.21074	7756.60413	27524.7065	-1863.71644	5192479.18	2057889.19	320963.822
238	300.681724	0	-1952.93228	2881403.19	227652.795	2909.41291	-1858.91228	243428.944	297544.793	59360.2216
240	302.608767	0	-1941.56606	-1941.56606	1893.4243	-1865.61238	-1707.73234	-1278.3969	-1663.57698	7890.11178
242	299.796592	0	-1878.94774	378728026.0	77740.2651	-1182.50296	-1784.92775	46625.6451	2598.22478	3690.65641
244	294.391937	0	-1970.68266	3583.28784	31710.8966	1600.6503	251048.598	-2215.09266	1424008.2	22646.2239
246	295.513706	0	-1965.63255	25298.0196	-642.489403	-1244.97952	-1871.61256	18088503.8	12219340200.0	5450283.52
248	296.987161	0	-1968.50518	54731.8412	39226.4432	86028.2094	52339.4255	-2212.91518	7929.48568	-1181.54052
250	295.350596	0	-1931.13632	377124.246	-1040.16148	-184.652183	93402006.5	9698.90731	358084204.0	-1794.93632
252	299.504523	0	-1841.45419	-1841.45419	-1502.56757	-1197.31311	28238.5785	637.7397	-564.134498	7599.42868
254	291.314392	0	-1926.97638	6605.05551	825.311332	-1939.49638	1371.45223	278.964709	1070288.59	939.059086
256	297.287419	0	-1876.3646	32653.1892	4261.06936	-1888.88459	14081302.8	16962.7953	248735.339	-941.392825
258	298.398343	0	-1955.99507	2190.07497	6552.95777	7623.58513	-1861.97508	2354322.07	106299.505	61951.5082
260	300.177653	0	-1919.17344	-149.146994	-1782.91214	-1011.20833	-1825.15344	472.510632	12956.1397	2780.50419
262	296.003823	0	-1896.6629	43329272.4	1992.90545	-1029.62704	197519.87	-2141.07291	772337.045	16837.5693
264	297.491491	0	-1987.39301	32141.6357	-264.115139	5547.17781	-1893.37301	1439140.05	7614669.86	2658707.38
266	302.632881	0	-1976.54795	8417048.64	-1354.55805	1853615.19	523136.256	-2220.95795	12125.9759	177935.411
268	297.836641	0	-1861.18361	-1861.18361	-169.712401	26911.5131	68890.61	11841.6365	82321.2333	582832.313
270	297.426321	0	-1916.27174	100151.926	-1766.42561	-1328.6728	-1822.25174	1487536.34	-403.142993	2396.93422
272	300.149479	0	-1926.23924	65.8890553	-1800.52076	2182.11045	73749.2944	-1421.88417	18116.0776	-1790.03925
274	299.469286	0	-1903.95802	-1714.8626	-1795.35503	-1517.17444	-1809.93802	-346.66906	18009.39	-1106.99458
276	297.467385	0	-1931.61561	-1587.54601	-1149.74128	-1616.17636	-1837.59561	-1073.74401	9341105.56	125.514202
278	299.021269	0	-1998.02822	1416.94782	21585.5385	-1497.16286	-1904.00823	2794.04854	118998.357	16574.0769
280	296.459204	0	-1988.41238	1186994.8	1.74526638	488.343244	-1894.39238	1610.72808	1737.96308	-125.982719
282	298.303542	0	-2043.21923	-414.883697	-65.3773861	30163.5719	-1949.19924	7156.79106	372277.99	10341.2977
284	300.187846	0	-1986.45097	51276.9626	1587452.61	8318.08854	-1892.43097	196317.469	357411.751	7025.22479
286	298.439781	0	-1870.91684	-1870.91684	-1514.37936	-945.265523	32862294.3	10665061.9	831245522.0	3401.12692
288	298.965415	0	-1916.68387	1080560.76	28256.365	1290323.61	-1822.66388	68903.5176	39518316.5	13669.7424
290	295.772827	0	-1921.81962	2810.34026	230951996.0	856.282122	-1827.79962	94232.8599	11576397.3	80205.3059
292	300.641593	0	-1970.48032	13419.8466	-473.534749	15845.2617	-1876.46033	594.401364	27185501.1	166022.448
294	300.958945	0	-1937.85747	4297637.74	-1514.77936	57639.0112	860820.05	24497.0965	13007982200.0	-1801.65747
296	297.639379	0	-1935.49059	6447.77967	-1689.7069	-1948.01059	5244773.2	34485.6078	6959.41278	4571.78076
298	296.349384	0	-1888.76393	-1888.76393	-1570.64576	-1532.90682	-842.491237	-1668.35831	3290.17599	66930.7467
300	300.909995	0	-1965.94872	-1965.94872	-364.202105	-1310.36785	12108.2482	2233427.63	5481576.38	-744.203141
302	295.427635	0	-1958.87224	999086.166	-2052.14224	3751.43309	42564.7326	72067.7702	198317.335	16701.0281
304	297.921284	0	-1885.28643	4228.71848	-1779.80175	-1897.80643	12938958.4	446528.54	69265.3563	960094084000.0
306	297.605092	0	-1908.61733	1272.92343	-403.567614	-1921.13733	18358.8821	753296.885	465214799.0	32248077.1
308	302.855584	0	-1810.67441	-1810.67441	-1700.72394	-1596.52973	-1410.62827	-1883.14026	-472.060224	-808.555461
310	295.694718	0	-1885.0286	10883500400.0	981.490263	-1897.5486	152435.148	-1425.21774	-230.55356	10701.4714
312	297.737933	0	-1987.81332	-1608.62115	-1657.13734	-1740.93706	-1893.79332	-1801.34037	-1639.29085	2344386.87
314	298.376162	0	-2032.67388	8911.78605	-1698.8683	-1042.25897	-1938.65389	4776.07153	278059.486	433.72208
316	297.463054	0	-1899.70678	-1899.70678	-1901.14671	-1732.02984	4837544.78	-1941.09185	-685.87218	885.670068
318	296.337643	0	-1920.56758	-1920.56758	-1531.31655	-1717.25695	974782.099	-1434.88341	3831300.29	-530.167149
320	294.903107	0	-1920.82086	-97.4484022	-276.122321	222.797125	51920041.1	8022.18328	72565.8688	-1784.62087
322	296.322971	0	-1844.5873	-1844.5873	21766.2078	2467.73203	-300.580494	4878.86629	-1528.548	4723.7379
324	296.944863	0	-1897.23457	37366.2684	20740.148	8548.7966	214.800293	6877.71564	40017.8938	-1761.03458
326	294.916774	0	-1849.23933	-1849.23933	223616.342	-1694.84105	5157.84832	-1800.77829	326248.962	1009028.69
328	303.682997	0	-1953.58869	167144.27	140096.961	86469.4723	419294816.0	160941.689	6000702.46	-1817.38869
330	297.316039	0	-1904.45133	20417.9485	-1997.72133	-1382.18549	13675273.8	119347.847	153886.261	839.628824
332	299.020162	0	-2029.67288	8010087.13	679932.811	44585.7919	-1935.65288	26241733300.0	4900785.38	53456890.8
334	299.465322	0	-1992.76341	-979.187553	2097.66984	-976.24341	-1898.74341	3886.72083	34280.1538	280602.141
336	298.046846	0	-1978.06626	47364.5292	10894588.3	834.953969	40985.6249	26843.6418	653368.826	-1841.86626
338	295.822497	0	-1964.59626	19565.8575	-1496.04344	-1495.65072	-1870.57627	-9.47532293	33789.3838	-1346.97204
340	298.444037	0	-1927.41531	375985.051	-825.114175	250.219543	-1833.39531	24697849500.0	269883.768	4222.70489
342	298.032162	0	-1916.79938	693.447607	-2010.06937	-92.8150637	4433.39642	3703799310.0	4044033.43	-995.025396
344	294.692266	0	-1900.50489	45209.0488	8496.6491	6117.89303	-1806.48489	552627.316	4891384500.0	14134.0942
346	299.567895	0	-1944.94808	2640516130.0	-2038.21807	408.179735	-1469.90243	-1142.49542	-1611.01113	11153.5215
348	292.647276	0	-1877.56296	-1223.80276	-1970.83296	-1564.82351	2417.36976	535934.543	183238630.0	-824.315842
350	295.853539	0	-1896.22936	635.809073	-346.496117	3066.45952	-1802.20937	78985.8397	1499059.08	-371.117089
352	298.102462	0	-1929.46544	-1929.46544	-919.188793	-1593.72028	-1221.21039	-968.488364	4266.30527	12566.2014
354	297.462189	0	-1932.11536	-1623.6775	-1423.10625	-942.255747	-1838.09537	-2.23424989	47766.456	20.6593027
356	301.282828	0	-2002.30427	10552.2365	1349.02467	4775.3024	1676746.48	5706853.39	9452794.31	-1866.10427
358	304.440808	0	-1913.45261	631917.295	12857.8371	2360.70195	4299.94788	24320.2388	29531.2009	-1777.25262
360	296.476334	0	-1952.92339	38525.4135	-1957.28597	162058.367	-1858.90339	-614.243774	5624047.25	116545.008
362	293.095564	0	-1947.85721	-943.746028	-1743.00083	-1752.87299	-1853.83721	-773.52691	4048.29401	246972.34
364	299.785181	0	-1780.21014	-1780.21014	-1806.22137	-1153.77773	-1383.97511	-1399.61808	60178.8635	-1517.05588
