time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7
0	301.648775	0	-1959.10427	-1959.10427	-467.601848	-1384.27227	-118.926901	896.990147	4575322.4	9208.66618
2	297.499481	0	-1869.5112	4913.06635	-1946.7512	-1379.60401	35834285800.0	110218.155	419296.316	-663.072104
4	294.913509	0	-1900.01116	-1762.82122	-1977.25116	4575.12102	681206.345	32.9234454	1942.8275	1112.32012
6	295.715667	0	-1776.81087	-1641.00404	96.1431458	-1693.24087	194.452144	10149.0354	-402.866091	65.6086389
8	298.577762	0	-1878.06343	-51.3096724	23015.2961	-1794.49343	2217.34121	32663.8038	108171.989	4726.73648
10	293.88002	0	-1886.93133	-1479.16748	-1964.17133	-849.036284	15457.1064	1315.92198	5918559.8	5280.80065
12	299.46837	0	-1866.16008	565.900813	2803572580.0	15794.796	-1636.04008	-1305.89747	79540.3501	-1080.23635
14	296.123491	0	-1818.27559	23645.7782	533.084816	-1734.70559	6234100.87	32351.0248	93710.0854	-532.082721
16	297.382733	0	-1958.35054	453.328716	5538.55168	18906.3302	1521317.51	-2179.43054	86258.8797	16113.9241
18	299.020581	0	-1892.78967	1965.34572	1101766290000.0	-721.296598	5576786.95	48898880.4	163473614.0	-1732.16967
20	296.023897	0	-1848.19693	7741.31384	-1925.43692	158639.262	2211684400.0	-606.742573	647721.204	101184110.0
22	298.467448	0	-1933.20456	109063.837	2107.9707	10030.6826	8512895430.0	-2154.28456	53509874900.0	37221196.6
24	296.79949	0	-1926.38513	-1581.77371	3471.88505	-1842.81513	45254.5431	6577652.0	381455.925	17233.8937
26	298.595214	0	-2025.47384	2132.28411	35.9848847	19376.389	333953.69	-2246.55384	1424689.5	11927.2569
28	298.647273	0	-1904.51333	-1563.99641	-1397.75539	-1295.6091	-1674.39333	54523.5649	46764.3967	529448.742
30	297.369523	0	-1921.27865	325593.486	-1645.76498	-1366.79697	-1691.15865	6809.19654	1644709.44	3231.50301
32	299.48871	0	-1912.24052	250.447873	23396.624	-1828.67052	7259601.49	3206.30125	20953.8485	2853.43263
34	297.987982	0	-1943.54955	25567.8606	-414.14022	-424.904554	-1713.42956	-77.0107726	4.46044353e+18	1741.81075
36	296.000201	0	-1930.74098	-1838.61182	-84.2669911	36980.7355	980394557.0	-2151.82098	750844.559	35133.089
38	299.37481	0	-1889.05454	164384.277	-1686.6599	-1308.66827	-1658.93454	-168.104716	1765167.94	-820.463667
40	294.480258	0	-1920.13669	-983.01184	6966.74512	-832.7629	98871.4542	-2141.21669	20844685.5	96.104462
42	298.748949	0	-1860.36957	9025.81259	103603505.0	-1776.79957	518963.444	8564482140.0	63495.7968	28407261.4
44	301.347644	0	-1859.81906	45.5248474	-134.424844	-1776.24906	574247.926	3556549.79	3745.94095	1810.52433
46	297.51566	0	-1864.98719	-1499.88765	-1942.22719	-1335.73863	106026.742	2252.56825	10343.9067	-443.004744
48	297.764996	0	-1940.99082	41721.1775	16552.4219	153510.104	-1710.87083	333537.299	840535.008	880711.235
50	295.97711	0	-1933.00608	972.255389	4918.31067	-1849.43608	1037.83985	167014.228	35781.967	5829.33434
52	294.626224	0	-1964.97998	467672.724	676.202896	-1462.37042	-1734.85999	-1558.79189	649.640698	-1178.82281
54	302.236664	0	-1935.20487	-1212.17008	37512.6811	13644.253	-1705.08487	43181278.5	7570150.84	114986.288
56	294.650961	0	-1791.44843	39558.8818	-1664.042	-1707.87843	33030.9561	93939.9053	1191072.22	873.851357
58	296.287616	0	-1885.01808	16859.5227	-1463.06272	-1801.44808	8174.64831	-1667.4118	1506114.71	4292.00766
