time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13
0	300.808562	0	-733.48081	-693.629838	84528.3728	-589.380804	134047.596	5193795.23	-278.907411	27021.8994	-613.211125	618.889336	-451.656822	-565.628845	11675.9958	8164.47981
2	295.993696	0	-701.946839	-576.139559	1116.6452	1094.26819	240264.9	1539.00737	-482.856842	2874.38758	-598.729756	-233.02225	-430.939447	-10.3756526	1039490.34	581.711355
4	301.969075	0	-689.350178	3192.138	297937.749	1732.28314	55628.1312	2656302.15	-470.260182	353.970318	-578.526772	3890.29979	241.146681	-568.506795	46111.1963	1100.42011
6	295.759683	0	-698.491789	-522.934375	80426.7572	10345.7135	67350.9343	1119.42341	-479.401792	953.833994	-582.658478	1192.97727	-46.2913589	-99.3140262	37968.2648	61527.0373
8	300.64749	0	-679.683702	114.049486	5011.42295	13446.2817	25631.7491	-748.203699	-251.524676	6246.2684	-533.244309	85818.5915	-462.528753	3.39614129	-38.7901775	476946.054
10	297.739697	0	-622.080431	943.870398	1993731.4	2166.05678	23615.8594	2312.08983	-52.9991255	5125.66097	-497.418479	-703.420427	-363.11003	264.286764	694260.299	34994.0716
12	298.691505	0	-666.575951	-414.471815	6545891.77	6220.66297	3678.30359	-735.095948	242.128672	22873.3853	-54.9443479	10798.0683	94.9981764	-337.124299	647.288077	211977.125
14	296.265891	0	-724.892452	-210.568096	3360375980.0	1284487.78	1324.24361	29594.5669	1791.13021	883.454575	-610.611402	105723.445	-618.912448	-484.623712	15065.0966	4849.72309
16	295.601948	0	-732.466679	-256.560411	4641.63975	1072.44702	6398.7146	3330.80619	-314.89191	13543.6057	1421.84997	48630.113	-626.486676	-544.896679	73275.0042	14688.8134
18	296.608556	0	-666.298202	-524.902207	1731.42275	5467.54875	94490.8367	1046962.49	-231.79331	318.391341	-602.048202	496.555673	-430.157303	-489.104318	5394.14023	71307087.1
20	296.81188	0	-683.247989	283.025465	-381.786439	4452.88515	88756.2408	346702132.0	-464.157993	261.148687	-527.243364	2905.60024	-197.656633	-481.913853	701488.686	83373.1164
22	298.802048	0	-689.804531	-554.220811	32159.0385	1913861.76	9822.95759	-93.6843545	-43.2131804	808.740901	10409.5793	5447.55434	-381.539238	-521.093273	-134.458372	-821.174526
24	298.042683	0	-704.048009	676.100727	-365.190866	1573842.72	219086.188	1758092.53	-422.560625	27761.7324	-590.131553	32740.2593	-598.068006	-545.133807	45187.1059	2969.00255
26	298.594342	0	-643.703341	-211.304997	683874.86	88.3566681	137518.543	6266865.03	383.333647	38448.1022	674.259418	-725.043338	-246.082517	-400.23943	-279.556049	29081.6503
28	296.608928	0	-721.780972	-373.767827	2671.56323	210901.356	136188771.0	39942130.6	101661.09	64378.6055	-528.565438	2039.04479	-615.800969	-566.299574	-99.9043905	3095522.9
30	297.659054	0	-745.915524	401667.558	208.241371	116052.309	257705.344	-91.8323426	36462276600.0	7054340.95	-222.245081	-827.25552	-105.961587	9929.63376	204.106224	39.19798
32	298.358193	0	-716.926439	-584.969255	7450050.87	958.520586	60132.5547	2642.0487	-497.836443	532.033183	-602.57927	1158.49347	-499.674881	-490.121659	24878.7678	6914101.05
34	293.565391	0	-691.00831	-480.859286	234279.123	77255.3858	6038.99999	33329758.2	-471.918313	10295.7698	-405.923068	55032.9454	-374.016938	-219.436429	1155838.62	49207.2175
36	298.75845	0	-690.503289	74.6398503	18451217.1	26193.2641	30612.699	-36.6992124	-74.3342264	265766.782	-501.963804	-771.843285	-328.292217	-121.88333	920.968542	66254.4039
38	296.392779	0	-704.382137	-556.385674	-391.189375	875.33584	6908.07588	810154.894	-485.292139	319359.847	-605.676127	-127.809387	-411.658863	-625.162318	36969.8608	88648202.7
40	296.521728	0	-687.995271	-687.995271	33287.9462	5716.3397	159128.134	266192212000000.0	-187.210104	9413.03585	1008.42954	22620.1442	-166.292514	124.469755	4508.78431	46371.9507
42	300.287057	0	-651.882916	-651.882916	60567.8489	3954.88001	1218841.48	365701441.0	-26.2388162	494124.694	-492.386824	1210.73083	8077.512	-487.864985	127668.352	2018081.36
44	298.939271	0	-681.179358	-566.948228	-430.890639	3468.83588	4478.88097	-629.155261	-193.561461	465.522441	-501.05572	-762.519354	116.73734	-547.497584	-324.860876	3435.983
46	300.804868	0	-691.366342	-77.9945424	2204.83002	-547.266336	161056.479	-568.157966	-425.370156	331.101648	-586.178702	677.787465	-245.639343	-288.328881	1101.25249	37237.8973
48	297.544899	0	-710.546368	4956.49802	28602.8208	-566.446362	4861669.07	63309106.6	1244952510.0	190058.253	-543.755037	1022491970000.0	20383.3952	-332.049145	7926.86622	8011382.9
50	301.839595	0	-711.656968	843.255523	177.535348	-330.036411	8037.54273	-780.176965	-229.547447	-667.477257	-577.802378	463.025787	-550.883302	2235.80431	-321.562017	8740.05875
52	297.926673	0	-690.432855	1841.62265	43629.2839	16852.3163	73300.1121	-99.4640225	-471.342858	14128.8767	-244.013936	4494.18123	184.369988	180.612924	198143487.0	1127886750.0
54	298.617313	0	-747.360195	-585.414819	14033.477	-603.260189	4456.78745	-583.508258	101.170487	5517.93802	-578.672622	-473.540542	-350.204414	-266.799271	18381.0943	72282.6916
56	298.853329	0	-731.946235	-134.216946	13199721.2	2383.14401	82389.2949	33069717.1	-512.856239	1139.90145	-183.644423	5514.15545	118630.476	22913088.3	67834973.2	15641.1974
58	295.967014	0	-664.818024	1083.20625	2910.29709	10911268200000.0	21765.7865	157391.633	-154.130475	9141.44169	-304.90881	892478.986	-558.83802	45.4504306	167821.366	45122.4053
60	297.280934	0	-711.054941	479616.397	5322776.03	-419.835413	140979.966	165167.441	-233.469193	4037.48776	-577.535347	351358.526	-605.074937	2722.28392	4508.35435	5579.51006
62	296.853885	0	-691.562673	-691.562673	4789.31662	38712.7149	792984.065	1125.02461	-239.743683	9492.42348	-227.519639	545.412211	-343.11627	-557.912534	3296.4649	10041.074
64	299.039514	0	-665.367953	378.196263	-581.417956	5174113.34	16814.7621	645.845166	-370.984585	89318.0498	-510.839731	16281.6078	610.231277	8192.72184	754333672.0	2654235.99
66	302.4665	0	-720.963717	-619.050918	32368634200000.0	11.5087607	30069.3805	505633.682	-501.87372	1225.28898	-586.734972	-407.926494	-529.559845	-589.886991	-342.662216	207151.311
68	295.066667	0	-703.656379	28660.3436	24957.7165	4630.11342	30973.7144	395.898972	307165607.0	174.433449	-430.858959	25366.0745	-597.676376	2606166.54	196014293.0	16471.2244
70	295.351622	0	-682.258224	-451.776018	1354459.65	-259.827143	1700189.61	689.694411	-212.624583	12790.1215	-576.558601	951.769084	-576.278221	-496.890358	-319.451616	287956930.0
72	294.736445	0	-716.42861	128.367214	-317.470901	132031.026	24309.0352	5072.34871	1770.96376	36236.754	-555.228305	116297.188	-610.448607	-224.351107	8261.4954	17066424700.0
74	303.179063	0	-661.326103	-503.565827	48449.0925	68254419.9	3076.87453	-260.987329	-442.236107	155.627743	-495.359168	-499.543905	-431.246941	1552.74949	773280.76	2507.72143
76	301.132089	0	-655.080571	19661.5054	7568.49425	1150142.85	178024.8	1400289.54	20035.9526	3102.40864	-590.830571	44631.0409	-219.229199	1377.83726	91793.2054	7793327.27
78	293.19757	0	-669.04595	2238.83508	5633.16964	67106.1928	83.5197255	7842.09211	-222.161215	-129.181789	-604.79595	28596651.7	143.086065	291.239312	1226993.5	604.742521
80	300.199544	0	-675.175147	-675.175147	2598.7677	15753792.3	24283.969	18849.2312	1565662.5	1821310.93	-526.885093	606512.508	7173.62176	14443.4898	345780.561	25461.0061
82	302.702412	0	-706.927008	-706.927008	-123.686515	149.191797	126968.353	1043.30593	-443.064015	739.024232	-571.370231	23672.7885	80.1813958	-530.816005	96635.4918	3213.1362
84	303.196616	0	-702.13245	1221.73189	108710.075	2777702.5	206297784.0	194119.256	-483.042454	1383143.63	48389.411	12661.7527	325809.525	1299.98451	81099.6204	141999036.0
86	293.007719	0	-722.999548	209.514473	-339.901244	-578.899542	459804.808	-270.304967	33253.7753	2390826.08	-176.164918	60659.8291	986.250446	-561.278125	85.6619833	-358.895382
88	293.39839	0	-654.927772	-654.927772	-250.152122	9434.96429	8140685.57	1298.65025	3355.34551	181982.109	-451.913956	3439.82222	694.273609	121149.118	2887832.12	27655.1892
90	299.867589	0	-714.585349	-714.585348	610516.75	139.307998	6242.10685	-359.316809	-295.359725	-272.663133	-614.061962	775.316526	-386.65383	-520.679592	55403.8729	-640.936817
92	295.304633	0	-691.815602	440.109226	60024.7552	846.778705	6356096.57	4236.1778	-387.362381	5281.57284	-627.565602	61511.1883	-131.466264	-22.2741337	136176762.0	1699.11783
