time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13
0	298.866943	0	-806.762483	295.115722	19600.091	9657.39121	64285.6491	282.739966	1193.90821	-890.562486	-163.813612	3979.20727	10793.8753	12214.491	44491.7808	1234740.87
2	295.940244	0	-828.571885	7323.9809	11347.115	14038251.3	31082511.8	23959.1529	19277.6481	-117.374232	-103.888429	-849.821885	11334.0194	4323.49146	218000.324	264943.847
4	297.632342	0	-837.407733	269.21037	1435.78097	-183.229232	-625.86774	584.614998	-294.680159	162.409907	-506.384332	68436.3544	-358.735599	3138.54866	18975.524	188015518.0
6	302.331016	0	-845.841112	-642.970522	586152.341	3106.72732	6263.84285	8849.74057	-544.632428	20403.9559	-518.149855	-867.091112	-622.890814	-678.556501	75846.4765	11329.917
8	300.325544	0	-858.809748	-537.311252	470.335103	1062.45684	-647.269755	226.222908	-485.082292	-392.15196	-674.352314	-330.702246	-537.535799	-712.481021	186552176.0	11968.48
10	297.924066	0	-801.491203	-801.491202	-293.731481	657.593629	6715.44293	-131.045704	-502.180661	14958.4675	-622.004923	-613.586647	-620.372778	-729.131283	2330.78221	497923.524
12	300.953627	0	-883.22706	1956214.98	1808.40208	48257.5462	34714.1279	8019.506	-201.750754	1950.04554	805.56828	-904.47706	32974.8214	15566.5098	14092.7051	130888.124
14	294.915186	0	-832.42164	3517.24908	1825.35721	1682.20758	1307.36666	-395.112065	592.107815	-916.221644	-270.704621	801.457792	-330.169992	143.120553	16309.2828	90369.5675
16	296.194748	0	-788.288664	-788.288664	28639.2209	11263311.8	1628.62764	383239592.0	-161.993371	11504.1692	-567.409598	6941653410.0	6632.53872	-595.607122	6692.58563	7418.47934
18	299.508203	0	-820.022671	-181.574061	25668.3362	23685.0445	10465.2655	153.650356	-416.748373	20771.8776	5019.3248	-841.272671	-597.145382	-702.666694	9013.28601	2095.74833
20	293.826877	0	-850.462194	-553.877448	6260118.93	15268.6162	-638.922201	53.7147997	-455.119686	-287.273006	605.123234	82887.0325	10347.2844	-478.717896	12231.0264	276865.819
22	298.188691	0	-855.257539	-464.232236	733.865218	7907.46236	-643.717546	-452.700847	-108.432383	860.939511	76416.1999	-338.696526	-542.114767	-546.803188	13524.3081	6611.95567
24	299.980944	0	-798.595098	702.207224	22678668600.0	7433.17538	57254.0111	42638.6778	2176.19631	-373.786949	253463.482	-819.845098	500.030621	-654.772542	5769.8227	1276.26686
26	293.586767	0	-732.121347	-732.120987	15741.3684	70768211.6	655.113	6783637.77	4961.53747	7930.82049	-613.688608	-383.521007	2911.52742	4905.09901	113865.626	20622.9222
28	299.113514	0	-845.317186	267.87331	4186734.93	671.720868	244473435.0	-678.422104	-416.881013	-312.711952	-259.806274	-866.567186	-365.068642	-453.954924	29347.4829	2066.68618
30	297.100028	0	-778.781077	-778.781077	1301.94299	1971181.02	16509.9539	14871.1372	-244.864857	961179.163	-165.72045	1186049.74	-564.175928	3622.44896	3906920.24	29445800800.0
32	301.235566	0	-759.604401	-211.098077	-666.114404	56440.7224	13305.0199	-381.020232	-370.778422	2549.42234	-450.233704	272.549432	-569.895737	-611.175594	32242.7078	908814.217
34	298.312224	0	-844.163708	390.076211	-664.734209	-365.386847	-632.623715	-233.542597	375.267535	-806.033225	39.8088196	5986.84446	-121.543345	-643.890656	592.944074	107643.182
36	292.346486	0	-824.382682	14950.7724	2839.25315	105.805061	35554.8613	92640.3128	4368.8059	157647.875	-546.053145	-845.632682	16479.176	3097.18653	104315.365	31536.6284
38	297.973011	0	-845.601234	-649.850187	-635.499628	-59.7291242	-634.061241	6102.85997	-215.478192	-491.699336	-657.014671	2063.85864	-517.799692	-561.47505	17618.1131	319545.609
40	300.142893	0	-854.047959	-629.419932	13312380.1	29359684.9	200966.973	38449.4566	-432.856599	-52.7142157	-679.948626	-875.297959	-588.880939	-653.729506	4445247.1	8648.45708
42	303.239054	0	-828.568221	2491.37778	-186.55616	10089153000.0	66449586.2	1824274080.0	4065.22058	-317.746518	-454.526969	-849.818221	446.000132	14143.8276	138811478000.0	793.600285
44	301.894099	0	-763.685714	36.6920385	805562592.0	11846.6128	22262.4982	50.1742867	258.194928	394.098778	-667.145713	-141.973997	-383.705839	-634.572356	100164.142	3775.94259
46	298.311474	0	-839.774016	-615.605745	-614.145862	-96.4319294	291640.513	-387.907096	-42.4940247	15310.5139	-570.283694	-861.024016	-613.226698	-672.832746	4249.35424	1674.07713
48	302.148151	0	-824.450506	-344.359301	460.682535	-458.598556	-612.910512	-606.095072	-375.707633	-415.906706	-618.129291	1293.0857	502.290995	-663.107276	53.0468313	13911.1532
50	298.267701	0	-762.410419	-762.410419	-519.030021	-148.461161	7224110260.0	6496.45453	21371059.8	88519936400.0	-274.48349	1422.24914	777011.261	123.678461	106546198.0	747391399.0
52	301.771568	0	-801.735262	-104.292152	73533.9781	549.697483	-590.195268	1521.42908	-445.687528	-790.048347	-561.007077	1691.05209	-448.563104	-681.461388	1378.18893	10344.1083
54	302.644628	0	-750.164645	-596.84564	862.642347	3973864.74	1899644.32	58318.9094	-461.59425	2963.45963	-653.624643	139300.373	-518.949318	-530.049221	3487.7375	77520.9565
56	297.545768	0	-841.326133	1412.32981	2424.52562	9850.36284	14276.1958	3351.4772	12370.0693	894.45177	-548.100673	-862.576133	-429.214855	-523.906366	2465.70546	176523732000000.0
58	299.297306	0	-803.301165	20036.2933	147075.46	1167453800.0	11273.6644	10255.502	336.05617	3339515.29	1419.77229	-824.551165	1156.02913	3645.06823	16300.9713	2232642.91
60	293.434315	0	-759.530405	63016.574	2469.8191	2801.85395	2250.09209	535524966000000.0	3083.6644	362776668.0	-517.540629	-780.780405	4896.53866	25037.342	48629725500.0	33553.1127
62	301.061224	0	-740.411082	-335.343583	5218073.38	36874.1896	618227.854	2300.4202	-443.048041	-724.954941	-619.5149	-629.781756	-523.848511	-705.000949	2844.83585	53994.6152
64	294.259025	0	-789.768573	-532.402267	2062.31917	-417.68901	22026.2841	-723.438571	-275.925436	234.648547	-634.601536	-530.718131	-537.285053	-592.377028	-109.875417	90386.8061
66	295.318172	0	-766.552095	1254.58272	155.630161	-497.087282	10101270.2	-700.222093	-476.097139	-261.389164	-131.783945	6017.55048	-312.667435	-649.384717	242.027422	8753671.28
68	301.907769	0	-792.488676	1466.81609	2724.48548	2022.00529	8937.54051	-531.523902	6071.01505	-496.703047	-178.071092	-813.738676	-200.184033	3833.1129	4040.76258	451972.096
70	298.661428	0	-789.807151	-768.671206	-234.352533	8500.20084	-72.7480174	910.331238	-539.316629	-18.9759105	-664.493223	305.001683	-618.017365	-721.93496	287.897051	531164.671
72	293.861707	0	-838.304774	-838.304774	-357.62241	159718.477	160.611658	2409.68795	-229.495902	6477.76929	478.853799	1032171.81	-641.864329	1590.27723	33220.26	2185.37158
74	295.341019	0	-838.847193	-448.658875	371329.927	2882.15549	1550.23075	-349.943013	3514.64252	3283.36635	-666.375715	-860.097193	8457.34536	-390.881755	5063727.55	2860.23019
76	293.95059	0	-806.797098	-755.91835	390.215669	-47.0799214	61781.452	-740.46709	-394.111706	897.244275	-525.794471	9449.8526	-669.701376	117.445862	-593.195161	403716735.0
78	291.617034	0	-817.996849	-63.6190642	21019.2801	687678.623	181565476.0	197.091215	104.794906	10585.2849	-241.297655	-839.246849	-501.482917	-666.90163	871.944696	77446.9699
80	298.071441	0	-813.055423	-618.354574	13383.8658	-215.466713	3437.79173	-746.725421	-375.093832	5772.06023	684.506999	113668.122	-651.888323	-568.672003	-622.023447	36131.0597
82	299.31014	0	-841.01479	-473.168759	161537.995	13331.6912	44831.7008	-294.482158	3473.23016	1110.19203	-531.276091	-862.26479	-360.288607	2016.7613	1646.93085	293024.24
84	300.939228	0	-774.732106	-454.555608	27426.3533	128454468.0	47859.4103	18547.6748	-325.607825	8967960.03	-555.257001	-160.668498	-669.652104	296828.573	25536.8675	247101.563
86	302.95806	0	-751.368556	-751.368554	1257.5312	-324.59498	1787.68127	-437.977711	-299.021959	160.671666	-620.206836	-454.196174	-582.000575	-665.956878	376878.112	6282.70437
88	292.602948	0	-759.822618	91.5660886	-322.369273	2399.52268	-548.282625	6308.89716	-393.989413	651.737276	-546.59207	4570.06582	-373.363566	-442.007673	35510.7499	5502.19899
90	302.494287	0	-785.775291	61.8352007	1210.44734	112906.712	6618.68124	112716001.0	-274.82507	58721.6851	195526.857	33357.9874	-680.695289	171.309907	74800.5029	58722.249
92	299.683457	0	-793.810215	-793.810215	1671076.91	420.961271	17005.8692	2078.91765	-490.924194	23129.5698	7054.35064	5065.48967	3746.86633	246.12449	61.5510289	135198.841
94	296.843855	0	-752.363783	-631.661858	21475.8939	5663.79777	6030.4719	1020188.73	-501.873761	323.278602	-626.31988	1700.64291	-590.013438	219.853832	3667252340000.0	247415.198
96	294.269653	0	-783.823666	43114.3336	-690.333668	3148287320.0	1497.42501	34549093.7	21984.0885	153.316395	-161.447707	128913.417	-186.182413	1561.49143	26427335.6	42609641.6
98	293.175799	0	-723.092516	10394.3513	-629.602518	37940.0863	70161.002	42931710.0	-209.944875	25197.0406	164.296264	92183.2849	20.5655506	104.283233	1507324.37	42723.2516
100	297.913922	0	-794.51402	646.350646	29.623033	1182785.94	-582.974027	507425.014	272.195622	2243.22409	-604.890202	33987.1284	-507.216831	-179.383283	1458986.38	150692.438
102	298.531808	0	-818.635175	2463.45037	14102.1184	565365.317	-607.095182	39560554.1	111.113005	-687.74049	1146.34639	21260210.3	724.719355	166854.742	1504699.55	153908.341
104	300.621217	0	-756.564539	10830.8195	-663.074541	35094.7434	5289.07686	120302.252	-339.910882	5721.51147	-321.967476	148609.667	36461.0553	49.188066	47099237100.0	4034.69522
106	300.295699	0	-801.539371	-533.785362	2283.00284	-514.645405	18001.2376	-416.453203	-457.797534	-537.538523	-663.104576	568.431722	-649.519426	-695.433331	-761.389369	27206587.7
108	300.616781	0	-765.16049	76030.5053	4145.39599	3038.40606	9713.66921	13184914.1	-514.670484	99548.6715	-579.973397	171.754033	904.489547	75.9158542	687522.353	526074.563
110	294.985223	0	-779.495331	-348.295063	2937942480.0	-472.963591	28763.2849	-668.266997	-529.005325	-724.291958	-460.259422	-475.026148	-565.330117	-501.109004	-370.923925	2887.43729
112	293.957799	0	-796.257732	-92.2626365	18527.7101	-183.296478	-584.717739	-233.322011	-430.425601	-51.933385	-464.679631	-95.9611683	-504.762775	-638.462814	18942.683	219838333.0
