time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13
0	295.210686	0	-608.590628	-502.679287	445949.286	464719.324	127922.242	6011.76054	-323.6649	74.8845607	-541.540625	-241.546534	-229.824331	-480.771862	364503.709	3586.63456
2	299.186213	0	-651.515242	-651.515242	3902.7478	571923.394	490927382000.0	679.781324	491.101856	26573.7684	524.786725	88930.5158	141972.82	2876.96204	39696.8781	59771290.2
4	298.671303	0	-606.470498	-124.247565	3754.8277	576283.234	13589.976	-281.353225	-170.783245	832.86127	-539.420495	46928.3494	773.50787	-502.912814	64795.5927	443542.008
6	299.330642	0	-579.319821	2070.60926	-498.109822	-255.507313	5009.20815	-320.430851	-108.416068	-420.481489	-427.552049	26264.5512	8461.96053	-402.950869	2370.69474	4601408.33
8	300.122146	0	-715.568003	4968.10984	1524.05181	119.938385	178950.141	-438.151642	586.349422	-838.968004	-466.335359	-439.046771	-155.995367	1092.16093	590.807904	42633656100.0
10	294.99922	0	-618.230913	-618.230913	106.101718	306014.669	2697.96733	60252.7581	195.057161	8466.45734	-504.568148	3383.87581	-343.653238	-317.260811	57525287.5	775430.76
12	292.398189	0	-617.316971	30652.515	-327.687201	559.256878	366437.653	-683.866974	-315.038154	-11.2512757	-125.180999	706.041387	-369.518897	-413.249231	-71.7871025	-294.725235
14	297.980891	0	-641.030704	-641.030704	-427.783428	56237.0651	958.839316	-509.247522	-8.44082662	3626.09665	-341.273196	-571.627329	-286.614818	-237.975595	29340177.5	594446.531
16	299.939083	0	-615.160223	1402289.9	-533.950224	154273140.0	18323871200.0	23666.8013	273.027742	29810.3768	979.071537	740.880949	12475.9824	9563265.49	14704859.7	377400982000.0
18	296.025688	0	-670.357107	-495.445731	3934.12547	6814.05102	104071.957	15621314.4	-441.683973	174.697063	-603.227414	397.961328	-472.417705	-618.249672	1040615.54	197489641.0
20	299.63946	0	-638.829615	813453.615	213.484781	38881.8306	2190988.8	1444438.8	-426.669611	31044.9146	5266.52597	61319.4423	5027.3693	641.138889	61634.5111	2299882660.0
22	299.158387	0	-667.769333	-294.981126	1123.68944	14156.1539	377.761314	538.395154	-302.231931	2278.54022	-519.694393	-757.359329	693.833039	-398.926033	6059.45136	2882.49505
24	297.661639	0	-624.004617	-195.475171	6444.30788	31966.1902	3342.89926	6779.39601	-352.955534	59.4944682	-255.094456	-713.594613	254.757876	-280.805466	1099.73075	24973.1589
26	293.105861	0	-647.815967	12952.5634	-424.393698	-68.3258467	77870.7352	-714.365971	-78.6555106	-18.4567996	-354.66002	-454.540346	531.342133	-302.358127	3679.06493	26717.4621
28	297.503195	0	-558.638725	124.846493	8845.71983	52737.2961	8137727.73	276041.395	2221.85118	-347.706462	-491.588722	58.8733103	-178.341455	-258.102466	6003.64251	31416.041
30	297.605987	0	-616.478435	75322.3258	1146.72224	52686.4656	5913942.1	202719790.0	-404.318432	1420382.33	21018.0111	533333.664	10268.0257	27534.9165	74587.9119	3899174.21
