time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13
0	299.909131	0	-640.187666	-110.413747	-557.017668	3989504.86	4859.86936	3732181.61	-59.8865598	18384.8606	13308.948	134037.133	-283.803495	-305.314563	56181006.1	155318736000.0
2	300.277199	0	-705.387754	84580.9576	517926869.0	2741.23331	15452.5101	-641.407755	-330.835785	696.239308	9392.59969	-426.348509	2125.93008	-449.219943	4020.41032	35171.9701
4	297.274072	0	-784.458151	4831.20148	15675.2717	-247.665796	102924.16	-720.478151	5725.39106	50912.616	44693.1567	2529.9763	10170.4068	-699.783734	11688.1035	5594.1736
6	296.501006	0	-644.512387	-70.0694698	-20.3083523	249.527358	-448.602383	16377.7477	-232.339398	2052.25587	-459.451111	-511.904345	776.756403	2278.14767	74397.5857	-62.6906238
8	295.214129	0	-693.522805	277.661486	5321.30387	-316.609565	1348.04503	229528.119	-253.770093	19476.7379	-535.069244	13267.2778	-266.894624	-655.072804	906.71577	5270.07701
10	300.524514	0	-699.373221	90.3973187	8966343.96	37447.1995	328360.146	51917.0689	124.915233	68.9769759	-565.247589	5981929020.0	8207.4298	-660.92322	135720.467	1581.83211
12	303.002127	0	-652.864306	-652.862177	662918.277	-255.423018	12129.592	-154.547253	-277.564899	438.154508	-542.841389	879.238854	-390.99309	-575.392121	4804.716	1395.55785
14	303.193619	0	-689.215618	-665.745456	12803.6498	-434.730737	48328.9896	-594.832323	-431.446812	-252.882	-556.879277	6282.87295	-530.780089	-650.763643	-440.032463	-202.53231
16	302.037884	0	-644.825339	658.133744	5276.1678	-443.395347	38586.855	4388.53474	-209.342305	1033.69669	-481.514622	222304.143	126.063415	-110.595426	2071.47764	2939.82475
18	297.93574	0	-729.952921	308.730612	17162.3184	1544.68285	-534.042918	358578.576	20774.9152	433.152335	31087.4642	362.597936	1205.05777	-500.26185	6807.20003	422422.743
20	296.664872	0	-751.789076	-644.716401	8267055.7	-121.737057	5098.43335	1791.14012	-309.892765	-852.619077	88251.0483	-567.133093	-524.279673	-535.010462	-196.155543	4285441910000000.0
22	299.976261	0	-736.038029	-584.684702	-244.877878	-429.218554	87837.7383	-672.057257	1022.9962	35072.0481	-623.505858	-453.105626	-393.97464	-595.769576	1025.72863	9507806.87
24	300.779615	0	-662.299436	3401.55135	1031.16173	-330.12123	2631.73668	-457.104381	-422.479428	2639.03704	2136.66156	27515.739	1135.83601	-459.796783	323.668291	3202.82363
26	303.878852	0	-696.901521	-572.430665	-75.6747001	-141.5227	280506.416	-352.509431	-351.056353	-797.731523	1257.00408	142.699189	-474.270463	1819.39138	848.207852	1064.84299
28	300.180959	0	-800.846542	-334.977736	1580958.06	12714.3137	11364141.7	-527.585939	-66.1631521	-901.676543	-523.792304	63189.9936	-466.655778	-304.26922	6818.69603	1.44250089e+16
30	296.226001	0	-671.435146	-634.768912	29540.0586	1134.44995	2843.68845	-75.2911318	-431.615138	-674.911567	-509.681082	-635.116094	-513.966561	-495.286827	290.141843	316083.572
32	297.175287	0	-745.10628	-453.059393	7820.69176	-373.863918	4621104.12	-681.12628	-299.370721	-594.738835	-291.633038	-139.786798	-422.805542	-656.927005	1925.30676	3589.3594
34	301.756918	0	-671.168327	-562.607279	59497.4579	186781.694	223305.705	2122.45527	-364.030937	-130.642633	-578.638328	-612.835353	-514.860987	-586.159736	204160.832	2717.73019
36	295.372749	0	-680.370112	-548.815736	10693.3629	10327.9931	161909.511	96.5103361	-166.978703	837.830874	-587.840114	-581.441303	-284.362084	-573.061002	3238.76632	168976.635
38	296.085793	0	-710.804826	-390.483627	-419.581947	18139.3163	117.252255	-130.423874	-330.247671	108.536678	-578.552393	-149.01293	-473.239744	-604.851984	-665.664827	249264.05
40	294.236221	0	-679.735378	-616.460275	-416.601785	1131387550.0	9754.97862	69823.2868	-379.074637	-146.898227	-587.205247	426.790519	-550.418922	-614.441795	21567.3843	162491.47
42	298.278824	0	-677.601812	-596.211047	43850.2292	-339.783328	2398.93194	-613.621812	-193.116997	-644.048938	-349.330466	1301465.88	-363.129606	-128.298221	253.452252	19881693.4
44	297.336158	0	-755.845969	-594.174243	4969.60731	1734.65371	651459.217	872.735093	-200.318424	-856.67597	-216.04979	4462.64207	-394.463713	-449.323311	991842739.0	21442294.8
